trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	4019	0	1	TODFEIND	S	N	1	N	P
2	3	8500	0	2	SONNIG	A	P	2	R	B
3	2	11519	0	2	AGGRESSION	S	N	2	A	S
4	1	4536	0	2	SINNVOLL	A	P	2	N	P
5	2	20739	0	2	URLAUB	S	P	1	A	S
6	1	2162	0	2	GEWINN	S	P	1	N	P
7	1	6027	0	2	REIZVOLL	A	P	1	N	P
8	2	2366	0	1	HERZLOS	A	N	1	A	S
9	3	4232	1	1	FREUDLOS	A	N	2	R	B
10	1	3572	0	1	UNMENSCH	S	N	2	N	P
11	3	9589	0	1	ZWECKLOS	A	N	1	R	B
12	1	3491	0	1	GRANATE	S	N	1	N	P
13	1	2589	0	2	GRANDIOS	A	P	2	N	P
14	2	9693	0	1	VERBOTEN	A	N	1	A	S
15	2	3367	0	2	FRIEDE	S	P	1	A	S
16	3	4592	1	2	BLÜTE	S	P	1	R	B
17	3	4000	1	2	HEITER	A	P	1	R	B
18	2	1649	0	2	VERTRAUEN	S	P	2	A	S
19	3	1664	1	2	KLARHEIT	S	P	1	R	B
20	2	1448	1	1	MORDTAT	S	N	2	A	S
21	3	4858	0	2	FRAULICH	A	P	2	R	B
22	3	2349	1	1	GEFAHR	S	N	2	R	B
23	2	1408	1	1	GEWALT	S	N	1	A	S
24	3	3153	0	1	INFERNO	S	N	1	R	B
25	1	3061	0	1	ILLEGAL	A	N	1	N	P
26	3	3971	0	2	MASSAGE	S	P	2	R	B
27	2	5746	1	1	PSYCHOSE	S	N	2	A	S
28	3	1501	0	1	KOLLAPS	S	N	1	R	B
29	3	1637	1	1	PERVERS	A	N	2	R	B
30	2	1985	1	2	SUPER	A	P	1	A	S
31	2	1608	0	2	BEGABUNG	S	P	2	A	S
32	3	5496	0	1	SCHLECHT	A	N	1	R	B
33	1	1090	0	1	GEMETZEL	S	N	1	N	P
34	2	3113	0	1	GRUSELIG	A	N	2	A	S
35	1	2605	0	2	EROTIK	S	P	1	N	P
36	2	4641	0	1	WEHRLOS	A	N	1	A	S
37	3	1547	1	2	VERTRAUT	A	P	1	R	B
38	1	8960	0	2	SILBERN	A	P	2	N	P
39	3	5141	0	2	HEILFROH	A	P	2	R	B
40	1	6225	0	1	BLUTTAT	S	N	1	N	P
41	1	4347	0	1	DROHUNG	S	N	2	N	P
42	3	2241	1	1	ZERLUMPT	A	N	2	R	B
43	2	5269	1	2	STARK	A	P	1	A	S
44	1	2254	0	1	PLEITE	A	N	2	N	P
45	2	12510	0	2	SKLAVE	S	N	1	A	S
46	1	16311	0	2	PFIFFIG	A	P	1	N	P
47	2	3405	0	2	TUMOR	S	N	2	A	S
48	2	12811	0	1	AKTIV	A	P	2	A	S
49	3	22055	1	2	SINNLICH	A	P	1	R	B
50	3	8360	0	2	OPTIMAL	A	P	2	R	B
51	3	5240	1	2	TOLERANZ	S	P	1	R	B
52	1	1788	0	1	GIERIG	A	N	1	N	P
53	1	1702	0	1	LEICHNAM	S	N	1	N	P
54	1	4689	0	2	GRATIS	A	P	2	N	P
55	2	17849	0	1	ANMUTIG	A	P	2	A	S
56	2	2213	0	2	SEKTE	S	N	1	A	S
57	2	3369	0	1	BUNT	A	P	2	A	S
58	1	9684	0	1	LAUNISCH	A	N	2	N	P
59	3	12756	1	1	ERZFEIND	S	N	2	R	B
60	1	5036	0	2	MUTIG	A	P	1	N	P
61	1	2410	0	1	TYRANN	S	N	1	N	P
62	3	19534	1	1	PEINLICH	A	N	2	R	B
63	2	8960	0	1	UNBEQUEM	A	N	1	A	S
64	1	4653	0	1	MONSTRUM	S	N	1	N	P
65	3	11809	1	1	HUMORLOS	A	N	2	R	B
66	3	3038	0	1	GREUEL	S	N	1	R	B
67	2	7655	0	2	SCHLACHT	S	N	1	A	S
68	1	5745	0	1	STRAFE	S	N	2	N	P
69	3	15438	1	2	TRAURIG	A	N	1	R	B
70	1	8970	0	2	STILVOLL	A	P	2	N	P
71	3	3128	0	1	HILFLOS	A	N	1	R	B
72	3	1295	0	1	KREATIV	A	P	1	R	B
73	3	1827	0	2	BODENLOS	A	N	2	R	B
74	2	8701	0	1	STRAFBAR	A	N	1	A	S
75	1	5334	0	2	HEILUNG	S	P	2	N	P
76	2	7682	0	1	PRIMA	A	P	1	A	S
77	1	7798	0	1	LABIL	A	N	2	N	P
78	2	7347	0	1	DEKADENT	A	N	2	A	S
79	2	8998	0	1	ZIELLOS	A	N	1	A	S
80	3	3964	0	2	GENIAL	A	P	2	R	B
81	1	9402	0	2	ENERGIE	S	P	2	N	P
82	3	8403	0	1	WEIBLICH	A	P	1	R	B
83	3	1518	0	2	LIEB	A	P	2	R	B
84	1	6551	0	2	WEISE	A	P	1	N	P
85	3	8802	0	1	FREIZEIT	S	P	1	R	B
86	1	3060	0	2	WISSEN	S	P	2	N	P
87	1	8942	0	1	LEBLOS	A	N	1	N	P
88	2	12836	0	1	SCHLAU	A	P	2	A	S
89	2	5530	0	2	MORDFALL	S	N	2	A	S
90	2	8388	0	1	LOYAL	A	P	1	A	S
91	1	5280	0	1	TRIST	A	N	1	N	P
92	1	8245	0	2	TOPFIT	A	P	2	N	P
93	1	2947	0	2	MUSIK	S	P	1	N	P
94	3	3846	0	1	GEMEIN	A	N	1	R	B
95	3	7438	0	2	ANGRIFF	S	N	2	R	B
96	1	11960	0	2	TAKTVOLL	A	P	1	N	P
97	1	3409	0	1	VERWEINT	A	N	2	N	P
98	2	3050	0	2	INSEL	S	P	1	A	S
99	1	4993	0	1	LUSTLOS	A	N	2	N	P
100	2	11580	0	1	TROSTLOS	A	N	1	A	S
101	2	1754	0	2	HARMONIE	S	P	2	A	S
102	2	10463	0	1	TAPFER	A	P	2	A	S
103	1	3645	0	2	TREU	A	P	1	N	P
104	3	4185	0	2	PARTY	S	P	2	R	B
105	1	6368	0	1	TREULOS	A	N	2	N	P
106	3	2903	0	2	SADISMUS	S	N	2	R	B
107	1	12977	1	2	SEEKRANK	A	N	1	N	P
108	2	8754	0	2	UNFALL	S	N	2	A	S
109	3	5216	0	1	ENTSETZT	A	N	1	R	B
110	1	4106	0	2	NATUR	S	P	1	N	P
111	2	5347	1	2	HUMAN	A	P	2	A	S
112	3	8675	0	1	BLUME	S	P	1	R	B
113	1	4417	0	1	VERRAT	S	N	1	N	P
114	2	3015	0	2	PEINIGER	S	N	2	A	S
115	3	17378	0	1	RETTER	S	P	1	R	B
116	1	3421	0	1	TOXISCH	A	N	1	N	P
117	2	10750	0	1	NETT	A	P	1	A	S
118	1	7719	0	2	IDYLLE	S	P	2	N	P
119	3	2877	0	2	FRIEDEN	S	P	2	R	B
120	1	12205	0	2	WARM	A	P	2	N	P
121	2	5173	0	1	FROH	A	P	2	A	S
122	3	2765	0	2	TRAGISCH	A	N	2	R	B
123	2	18395	0	2	ATTENTAT	S	N	2	A	S
124	2	1738	0	2	STREIT	S	N	2	A	S
125	3	3695	0	2	FURCHT	S	N	2	R	B
126	2	12761	0	1	KRAFTLOS	A	N	2	A	S
127	1	3174	0	1	BANKROTT	A	N	2	N	P
128	2	4075	0	2	SONNABEND	S	P	2	A	S
129	1	4841	0	2	FREIHEIT	S	P	2	N	P
