trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	2425	0	2	MACHTLOS	A	N	1	P	N
2	3	3053	0	2	UNFAIR	A	N	2	R	B
3	2	3024	0	1	TERROR	S	N	2	S	A
4	1	4157	0	2	GRUSELIG	A	N	1	P	N
5	2	3508	0	2	UNGESUND	A	N	2	S	A
6	1	2064	0	2	GIFTGAS	S	N	2	P	N
7	1	1988	0	1	WERTVOLL	A	P	2	P	N
8	2	2545	0	1	ERHOLUNG	S	P	2	S	A
9	3	2819	0	1	SEEKRANK	A	N	1	R	B
10	1	2054	0	2	SCHLECHT	A	N	2	P	N
11	3	3850	0	1	GENIAL	A	P	1	R	B
12	1	2759	0	2	UNMENSCH	S	N	1	P	N
13	1	2479	0	1	BEGABUNG	S	P	2	P	N
14	2	3635	1	1	VERLETZT	A	N	1	S	A
15	2	4959	0	1	ÜBERFALL	S	N	1	S	A
16	3	2334	0	1	URLAUB	S	P	1	R	B
17	3	3495	0	2	TOPFIT	A	P	2	R	B
18	2	3111	0	1	WISSEN	S	P	1	S	A
19	3	4721	0	2	HILFLOS	A	N	2	R	B
20	2	2425	0	2	SCHLAU	A	P	2	S	A
21	3	3858	0	1	ATEMNOT	S	N	1	R	B
22	3	3138	0	2	WAHRHEIT	S	P	2	R	B
23	2	2994	1	2	AGGRESSION	S	N	1	S	A
24	3	3274	0	1	LIEB	A	P	1	R	B
25	1	2454	0	1	WEISHEIT	S	P	2	P	N
26	3	5498	0	2	KORRUPT	A	N	2	R	B
27	2	2843	0	1	BLUTTAT	S	N	1	S	A
28	3	3991	0	2	SONNABEND	S	P	2	R	B
29	3	1579	0	1	ZWECKLOS	A	N	1	R	B
30	2	2420	0	2	SPRITZIG	A	P	1	S	A
31	2	4107	0	2	WARM	A	P	2	S	A
32	3	4586	0	2	ABENDROT	S	P	2	R	B
33	1	2714	0	2	INFERNO	S	N	2	P	N
34	2	4288	1	1	ENTSETZT	A	N	2	S	A
35	1	4371	1	1	IRRSINN	S	N	2	P	N
36	3	6851	0	2	TUMOR	S	N	2	R	B
37	3	2942	0	2	ASCHFAHL	A	N	2	R	B
38	3	1175	0	1	ELEND	A	N	1	R	B
39	2	3639	0	1	JUBEL	S	P	1	S	A
40	1	2984	0	1	TOLERANT	A	P	2	P	N
41	2	3775	0	2	TRAURIG	A	N	1	S	A
42	1	2709	0	1	HEILUNG	S	P	1	P	N
43	2	3984	0	2	LUSTLOS	A	N	1	S	A
44	2	3005	0	2	LEBLOS	A	N	2	S	A
45	3	2382	0	1	PFIFFIG	A	P	1	R	B
46	1	2426	0	1	FANTASIE	S	P	1	P	N
