trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	6312	0	1	TRIST	A	N	1	R	B
2	3	993	0	2	STRAND	S	P	2	R	B
3	3	2961	0	2	TOLERANT	A	P	2	R	B
4	2	1618	1	1	FRIEDE	S	P	1	A	S
5	1	3734	0	2	HILFLOS	A	N	2	P	N
6	2	4201	0	2	BLÜTE	S	P	2	A	S
7	1	3159	0	2	AGGRESSION	S	N	2	P	N
8	2	3795	0	1	LOYAL	A	P	1	A	S
9	2	4060	0	1	WEHRLOS	A	N	1	A	S
10	3	3480	0	1	TRENNUNG	S	N	1	R	B
11	1	4096	0	1	LEBENDIG	A	P	1	P	N
12	3	1565	0	2	FOLTER	S	N	2	R	B
13	3	1801	0	1	TUMOR	S	N	1	R	B
14	1	8632	0	1	MUNTER	A	P	1	P	N
15	3	1778	0	1	PARTY	S	P	1	R	B
16	1	2762	0	1	FRÜHJAHR	S	P	1	P	N
17	1	3021	0	1	KREATIV	A	P	2	P	N
18	2	2971	0	2	VATER	S	P	2	A	S
19	2	1560	0	1	WARM	A	P	2	A	S
20	2	6817	1	1	BEFREIUNG	S	P	2	A	S
21	1	2301	0	2	GEISEL	S	N	2	P	N
22	1	3304	0	2	NEIDISCH	A	N	1	P	N
23	1	2896	0	2	PERVERS	A	N	2	P	N
24	3	2116	0	1	KLUGHEIT	S	P	1	R	B
25	3	1923	0	2	TOXISCH	A	N	2	R	B
26	1	2942	0	1	HOFFNUNG	S	P	2	P	N
27	1	2440	0	1	SINNVOLL	A	P	2	P	N
28	2	4860	0	2	ZUHAUSE	S	P	1	A	S
29	1	5096	0	2	ILLEGAL	A	N	1	P	N
30	2	3033	0	1	GENIAL	A	P	1	A	S
31	2	4556	0	1	SCHLECHT	A	N	2	A	S
32	2	3085	0	2	MUSIK	S	P	1	A	S
33	1	1878	0	2	FURCHT	S	N	1	P	N
34	3	2259	0	1	WEISE	A	P	1	R	B
35	1	3211	0	2	UNMENSCH	S	N	1	P	N
36	1	2821	0	1	SPONTAN	A	P	2	P	N
37	3	2049	0	2	PARADIES	S	P	2	R	B
38	2	3516	0	2	PANIK	S	N	2	A	S
39	1	3598	0	1	ZART	A	P	1	P	N
40	2	3386	0	2	PARTNER	S	P	1	A	S
41	1	4209	0	1	SCHLAU	A	P	1	P	N
42	1	2626	0	1	PFIFFIG	A	P	2	P	N
43	2	4229	0	1	TRAGISCH	A	N	1	A	S
44	3	2619	0	1	SONNIG	A	P	1	R	B
45	1	6301	0	1	BEQUEM	A	P	1	P	N
46	3	2423	0	2	STILVOLL	A	P	2	R	B
47	1	3532	0	2	KRANK	A	N	2	P	N
48	1	2855	0	2	PLEITE	A	N	2	P	N
49	2	2600	0	2	LEPRA	S	N	1	A	S
50	2	2494	1	1	STREIT	S	N	1	A	S
51	3	2052	0	2	LABIL	A	N	2	R	B
52	3	1336	0	1	HEITER	A	P	1	R	B
53	2	3352	0	2	INFERNO	S	N	1	A	S
54	3	4382	0	1	GEMETZEL	S	N	1	R	B
55	2	2492	0	1	SUPER	A	P	1	A	S
56	3	2855	0	2	VERWEINT	A	N	2	R	B
57	3	1533	0	1	ATEMNOT	S	N	1	R	B
58	2	3260	0	1	BELIEBT	A	P	2	A	S
59	3	1961	0	2	VITAL	A	P	2	R	B
60	1	3634	0	2	SATAN	S	N	1	P	N
61	3	2556	0	1	MUTIG	A	P	1	R	B
62	2	2172	0	2	GALGEN	S	N	2	A	S
63	3	1404	0	1	ERFÜLLUNG	S	P	1	R	B
64	3	1339	0	2	TOLERANZ	S	P	2	R	B
65	2	4615	0	2	HEILUNG	S	P	1	A	S
66	2	2304	1	1	HUMOR	S	P	2	A	S
67	3	2396	0	1	VERRAT	S	N	1	R	B
68	1	6554	0	1	FREIZEIT	S	P	2	P	N
69	2	5824	0	1	SEEKRANK	A	N	1	A	S
70	1	3484	0	2	SABOTEUR	S	N	2	P	N
71	3	3209	0	2	STARK	A	P	2	R	B
72	1	3460	0	2	RASTLOS	A	N	1	P	N
73	2	4087	0	1	SINNLICH	A	P	1	A	S
74	3	2705	0	1	UNGESUND	A	N	1	R	B
75	1	4094	0	2	SADISMUS	S	N	2	P	N
76	2	2648	0	2	STRAFE	S	N	1	A	S
