trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	1989	0	2	PEINLICH	A	N	2	P	N
2	3	2738	0	2	LEBENDIG	A	P	1	B	R
3	2	3906	0	2	FURCHT	S	N	1	A	S
4	1	2443	0	1	WEISE	A	P	1	P	N
5	2	3043	0	2	RETTER	S	P	2	A	S
6	1	4020	0	1	REIZVOLL	A	P	1	P	N
7	1	4257	0	2	BLUTTAT	S	N	2	P	N
8	2	2688	0	1	SILBERN	A	P	1	A	S
9	3	1719	0	2	SATT	A	P	1	B	R
10	1	4009	0	2	VERWEINT	A	N	1	P	N
11	3	1625	0	1	KLARHEIT	S	P	2	B	R
12	1	2639	0	2	TOXISCH	A	N	2	P	N
13	1	1637	0	2	SABOTEUR	S	N	2	P	N
14	2	1478	0	1	OPTIMAL	A	P	2	A	S
15	2	2451	0	1	HILFLOS	A	N	1	A	S
16	3	2136	0	1	SCHLAU	A	P	2	B	R
17	3	887	0	1	UNRECHT	S	N	2	B	R
18	2	2510	0	1	MILITANT	A	N	1	A	S
19	3	2367	0	1	ERDBEERE	S	P	2	B	R
20	2	1828	0	2	MUSIK	S	P	1	A	S
21	3	3668	0	2	STRAFBAR	A	N	1	B	R
22	3	2768	0	1	GRANATE	S	N	2	B	R
23	2	1269	0	1	BUNT	A	P	1	A	S
24	3	2641	0	1	MORDFALL	S	N	2	B	R
25	1	1861	0	2	KRANK	A	N	1	P	N
26	3	1482	0	2	UNGESUND	A	N	1	B	R
27	2	2368	0	2	FREUND	S	P	1	A	S
28	3	1636	0	1	GREUEL	S	N	2	B	R
29	3	2778	0	1	FANTASIE	S	P	2	B	R
30	2	2748	0	1	POSITIV	A	P	2	A	S
31	2	1659	0	1	BELIEBT	A	P	2	A	S
32	3	1853	0	2	TAPFER	A	P	1	B	R
33	1	2211	0	2	MASSAKER	S	N	2	P	N
34	2	1704	0	1	ILLEGAL	A	N	1	A	S
35	1	2131	0	1	TOLERANZ	S	P	1	P	N
36	3	1980	0	2	GEFAHR	S	N	1	B	R
37	3	1643	0	2	PANISCH	A	N	1	B	R
38	3	1088	0	2	MORDTAT	S	N	1	B	R
39	2	1783	0	2	PEINIGER	S	N	2	A	S
40	1	2052	0	2	ATEMNOT	S	N	1	P	N
41	2	3922	0	2	ZUHAUSE	S	P	2	A	S
42	1	1975	0	1	ANMUTIG	A	P	2	P	N
43	2	2663	0	1	AKTIV	A	P	1	A	S
44	2	1397	0	1	GEMEIN	A	N	1	A	S
