trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	1347	0	2	OHRFEIGE	S	N	2	R	B
2	3	1067	0	2	MACHTLOS	A	N	2	R	B
3	3	977	0	1	BEQUEM	A	P	1	R	B
4	2	703	0	1	ÜBERFALL	S	N	1	S	A
5	1	2904	0	2	VERRAT	S	N	1	P	N
6	2	3101	1	1	HUMORLOS	A	N	2	S	A
7	1	2277	0	1	OPTIMAL	A	P	2	P	N
8	2	3161	0	1	TALENT	S	P	1	S	A
9	2	2104	0	2	PEINLICH	A	N	2	S	A
10	3	2217	0	2	PRACHT	S	P	2	R	B
11	1	3929	0	1	SPONTAN	A	P	2	P	N
12	3	3110	0	1	POSITIV	A	P	1	R	B
13	3	1508	0	2	GIERIG	A	N	2	R	B
14	1	2409	0	1	ERHOLUNG	S	P	2	P	N
15	3	2222	0	1	ERFOLG	S	P	1	R	B
16	1	2941	0	1	KÜSTE	S	P	2	P	N
17	1	1106	0	1	ZUHAUSE	S	P	2	P	N
18	2	2291	0	1	VERTRAUEN	S	P	2	S	A
19	2	1595	0	2	SCHLECHT	A	N	1	S	A
20	2	2042	0	2	VERWEINT	A	N	1	S	A
21	1	2496	0	2	FURCHT	S	N	2	P	N
22	1	1239	0	2	GEMETZEL	S	N	2	P	N
23	1	3013	0	1	SINNVOLL	A	P	1	P	N
24	3	1472	0	2	SKLAVE	S	N	2	R	B
25	3	961	0	2	TAPFER	A	P	2	R	B
26	1	2902	1	1	RASTLOS	A	N	1	P	N
27	1	1536	0	1	GEWINN	S	P	1	P	N
28	2	2287	0	2	SILBERN	A	P	2	S	A
29	1	2900	0	2	UNMENSCH	S	N	1	P	N
30	2	2785	0	2	LUKRATIV	A	P	2	S	A
31	2	1244	0	2	GRANDIOS	A	P	2	S	A
32	2	3972	0	1	GIFTGAS	S	N	1	S	A
33	1	2561	0	1	ZART	A	P	2	P	N
34	3	2643	0	2	GEISEL	S	N	2	R	B
35	1	1880	0	2	BLUTTAT	S	N	2	P	N
36	1	2218	0	1	RETTER	S	P	2	P	N
37	3	1665	0	2	ERFÜLLUNG	S	P	2	R	B
38	2	2240	0	2	WARM	A	P	1	S	A
39	1	2806	0	1	MUTIG	A	P	2	P	N
40	2	2550	0	1	KOLLAPS	S	N	1	S	A
41	1	2883	0	1	ROBUST	A	P	2	P	N
42	1	1554	0	1	LOYAL	A	P	2	P	N
43	2	1985	0	1	TERROR	S	N	1	S	A
44	3	2115	0	2	TRENNUNG	S	N	2	R	B
45	1	3265	0	2	EINSAM	A	N	1	P	N
46	3	1697	0	2	PEINIGER	S	N	2	R	B
47	1	3870	0	2	REVOLVER	S	N	2	P	N
48	1	2590	0	1	SATT	A	P	2	P	N
49	2	2649	0	2	STRAFBAR	A	N	2	S	A
50	2	2052	0	1	PARTY	S	P	2	S	A
51	3	1871	0	1	FRIEDEN	S	P	1	R	B
52	3	1320	0	2	EHRLICH	A	P	2	R	B
53	2	1741	0	1	EROTIK	S	P	1	S	A
54	3	2242	0	2	AKTIV	A	P	2	R	B
55	2	2134	0	2	MUNTER	A	P	2	S	A
56	3	1860	0	2	ZWECKLOS	A	N	2	R	B
57	3	3123	0	2	SABOTEUR	S	N	2	R	B
58	2	2947	0	2	TOLL	A	P	2	S	A
