trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	6055	1	1	BRUTAL	A	N	2	R	B
2	3	3482	0	2	FREUDIG	A	P	2	R	B
3	3	1324	0	1	PARTY	S	P	1	R	B
4	2	7631	0	2	ERFÜLLUNG	S	P	2	A	S
5	1	8650	0	1	HEILUNG	S	P	2	P	N
6	2	3456	0	1	LOYAL	A	P	2	A	S
7	1	5805	0	1	SINNLICH	A	P	1	P	N
8	2	2419	0	2	FERIEN	S	P	1	A	S
9	2	1559	0	1	BUNT	A	P	1	A	S
10	3	5022	0	1	MUNTER	A	P	1	R	B
11	1	9725	0	1	LEBEN	S	P	1	P	N
12	3	1827	0	2	ANOMAL	A	N	2	R	B
13	3	1392	0	2	MORDTAT	S	N	2	R	B
14	1	11007	0	2	VERBOTEN	A	N	1	P	N
15	3	3403	0	2	SOMMER	S	P	2	R	B
16	1	5872	0	2	VIRUS	S	N	1	P	N
17	1	1337	0	1	RETTER	S	P	2	P	N
18	2	7315	0	1	BEQUEM	A	P	1	A	S
19	2	2851	0	2	TERROR	S	N	1	A	S
20	2	6440	0	1	POSITIV	A	P	2	A	S
21	1	5827	0	2	MACHTLOS	A	N	1	P	N
22	1	1518	0	2	LIEBLOS	A	N	1	P	N
23	1	7511	1	2	ROBUST	A	P	1	P	N
24	3	1616	1	2	PERVERS	A	N	1	R	B
25	3	3342	0	2	GESCHENK	S	P	2	R	B
26	1	5885	0	1	VATER	S	P	2	P	N
27	1	2111	0	2	SEKTE	S	N	1	P	N
28	2	7759	1	1	HARMONIE	S	P	2	A	S
29	1	2782	0	1	VERTRAUEN	S	P	1	P	N
30	2	4387	0	2	GALGEN	S	N	1	A	S
31	2	4282	0	2	STREIT	S	N	1	A	S
32	2	1363	0	1	SCHLAU	A	P	1	A	S
33	1	7468	0	1	SILBERN	A	P	1	P	N
34	3	5224	0	1	GRAUSAM	A	N	1	R	B
35	1	3051	0	2	UNTREUE	S	N	1	P	N
36	3	2127	0	1	BEFREIUNG	S	P	1	R	B
37	1	5489	0	1	GEFÜHL	S	P	2	P	N
38	2	3256	0	2	FRÜHJAHR	S	P	1	A	S
39	3	2742	0	1	OPTIMAL	A	P	1	R	B
40	1	6124	0	1	INSEL	S	P	2	P	N
41	2	2300	1	1	MUSIK	S	P	2	A	S
42	3	3713	0	2	TRENNUNG	S	N	2	R	B
43	1	5897	0	2	SCHLACHT	S	N	2	P	N
44	2	6428	0	2	GEISEL	S	N	2	A	S
45	3	3597	0	1	ERFOLG	S	P	1	R	B
46	1	3299	0	2	TRAGISCH	A	N	1	P	N
47	2	4926	0	1	SAUBER	A	P	2	A	S
48	1	4190	0	1	TAPFER	A	P	2	P	N
49	3	5332	0	1	MORDFALL	S	N	1	R	B
50	1	6011	0	2	PEINLICH	A	N	2	P	N
51	2	2609	0	1	WARM	A	P	1	A	S
52	3	2948	0	1	VERLETZT	A	N	1	R	B
53	2	4003	0	2	FANTASIE	S	P	1	A	S
54	2	2426	0	2	FRIEDE	S	P	1	A	S
55	3	2289	0	1	GUTARTIG	A	P	1	R	B
56	2	4777	0	1	GRATIS	A	P	1	A	S
57	1	3784	0	1	KLUGHEIT	S	P	1	P	N
58	2	3205	0	1	TOPFIT	A	P	2	A	S
59	1	2827	0	2	HILFLOS	A	N	1	P	N
60	3	3731	0	1	FREIHEIT	S	P	1	R	B
61	2	3132	0	1	LUSTLOS	A	N	1	A	S
62	3	3469	0	2	VERRAT	S	N	2	R	B
63	2	3078	0	1	TRIST	A	N	2	A	S
64	1	3993	0	2	IRRSINN	S	N	2	P	N
65	1	1960	0	2	TYRANN	S	N	2	P	N
66	1	3887	0	2	ENTSETZT	A	N	2	P	N
67	2	2443	0	1	VERTRAUT	A	P	2	A	S
68	2	4152	0	2	SCHMERZ	S	N	2	A	S
69	3	2382	0	1	REVOLVER	S	N	1	R	B
70	2	3676	0	2	MASSAKER	S	N	2	A	S
71	1	3057	0	2	GEMETZEL	S	N	1	P	N
72	3	4021	0	2	FORTUNA	S	P	2	R	B
73	2	1978	0	1	FRAULICH	A	P	1	A	S
74	1	2622	0	1	JUBEL	S	P	2	P	N
75	2	3461	0	1	ZIELLOS	A	N	2	A	S
76	1	3664	0	2	VERLOGEN	A	N	2	P	N
77	1	3948	0	1	BLÜTE	S	P	1	P	N
78	2	2773	0	2	KIRSCHE	S	P	2	A	S
79	3	3851	0	1	HERZLOS	A	N	1	R	B
80	1	3182	0	2	MONSTRUM	S	N	1	P	N
81	3	3758	0	2	KRAFTLOS	A	N	2	R	B
82	1	5459	0	1	FREUDE	S	P	2	P	N
83	1	4868	0	1	LEBENDIG	A	P	1	P	N
84	2	6592	0	1	GEMEIN	A	N	1	A	S
85	2	2157	0	1	SATT	A	P	2	A	S
86	3	2568	0	2	HALBTOT	A	N	2	R	B
87	3	1733	0	1	EROTIK	S	P	1	R	B
88	2	2510	0	1	MUTIG	A	P	1	A	S
89	3	2519	0	2	HIMMEL	S	P	2	R	B
90	2	3028	0	1	STRAFBAR	A	N	2	A	S
91	3	3712	0	2	OHRFEIGE	S	N	2	R	B
92	3	3224	0	2	FRIEDEN	S	P	2	R	B
93	2	2509	0	1	TOXISCH	A	N	2	A	S
94	3	4815	0	2	MILITANT	A	N	2	R	B
95	1	3421	0	2	TREULOS	A	N	2	P	N
96	3	2416	0	1	FURCHT	S	N	1	R	B
97	2	3056	0	1	NETT	A	P	1	A	S
98	3	2215	0	2	NEIDISCH	A	N	2	R	B
99	3	3000	0	1	WEIBLICH	A	P	1	R	B
100	2	2767	0	1	FREUDLOS	A	N	1	A	S
101	2	2701	0	1	REICH	A	P	1	A	S
102	3	3960	0	1	PARADIES	S	P	1	R	B
103	1	2964	0	1	PARTNER	S	P	2	P	N
104	2	3507	0	2	FREUND	S	P	2	A	S
105	1	4336	0	2	SABOTEUR	S	N	1	P	N
106	2	4637	0	2	ABENDROT	S	P	2	A	S
107	3	2895	0	2	ANMUTIG	A	P	2	R	B
108	1	2833	0	1	KREATIV	A	P	2	P	N
109	3	2416	0	1	LEBLOS	A	N	1	R	B
110	1	5071	0	2	BANKROTT	A	N	2	P	N
111	1	3872	0	2	ILLEGAL	A	N	2	P	N
112	3	2370	0	1	FROH	A	P	1	R	B
113	2	2439	0	1	TROSTLOS	A	N	1	A	S
114	1	2878	0	1	PFIFFIG	A	P	1	P	N
115	2	3704	0	2	ATTENTAT	S	N	2	A	S
116	1	3611	0	1	TOLERANZ	S	P	2	P	N
117	2	3423	0	2	BESTIE	S	N	2	A	S
118	2	2820	0	2	NOTFALL	S	N	2	A	S
119	3	2892	0	2	PLEITE	A	N	2	R	B
120	3	1560	0	1	ZUHAUSE	S	P	1	R	B
121	3	2294	0	2	HOFFNUNG	S	P	2	R	B
122	1	3075	0	2	DROHUNG	S	N	2	P	N
123	1	2182	0	1	LIEB	A	P	1	P	N
124	1	1785	0	1	HEITER	A	P	1	P	N
125	2	3016	0	1	UNFAIR	A	N	2	A	S
126	2	2817	0	2	ENERGIE	S	P	2	A	S
127	2	1565	0	1	GESUND	A	P	2	A	S
128	1	3699	0	1	STRAND	S	P	2	P	N
129	3	2758	0	1	UNRECHT	S	N	1	R	B
130	1	3303	0	1	ERHOLUNG	S	P	2	P	N
131	1	2360	0	1	TREU	A	P	1	P	N
132	3	5078	0	2	AGGRESSION	S	N	2	R	B
133	2	2281	0	1	SCHLECHT	A	N	1	A	S
134	1	4316	0	2	FOLTER	S	N	1	P	N
135	3	3876	0	1	SONNIG	A	P	1	R	B
