trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	5767	1	1	KRAFTLOS	A	N	2	R	B
2	1	5340	0	2	ASCHFAHL	A	N	2	P	N
3	2	1734	1	2	SEEKRANK	A	N	2	A	S
4	3	3510	1	2	BRUTAL	A	N	1	R	B
5	1	4023	0	1	FRIEDEN	S	P	1	P	N
6	2	1035	1	1	HARMONIE	S	P	1	A	S
7	3	1707	0	1	VITAL	A	P	1	R	B
8	1	1396	0	2	HILFLOS	A	N	2	P	N
9	2	1116	1	2	NEIDISCH	A	N	2	A	S
10	3	2173	0	1	ROBUST	A	P	1	R	B
11	1	1547	0	2	LEPRA	S	N	2	P	N
12	2	3070	1	1	FANTASIE	S	P	2	A	S
13	1	763	0	1	SINNVOLL	A	P	1	P	N
14	3	5842	1	2	ZIELLOS	A	N	1	R	B
15	1	1037	0	1	IDYLLE	S	P	2	P	N
16	2	1513	0	1	GENIAL	A	P	1	A	S
17	3	2054	0	2	BLUTTAT	S	N	2	R	B
18	2	1310	1	1	SOMMER	S	P	2	A	S
19	2	1114	1	1	GEWINN	S	P	2	A	S
20	3	1484	1	1	TOLERANZ	S	P	2	R	B
21	2	952	1	1	WISSEN	S	P	1	A	S
22	1	770	0	1	GESCHENK	S	P	1	P	N
23	2	11729	0	2	TRAUMA	S	N	2	A	S
24	1	2119	0	2	GEFAHR	S	N	2	P	N
25	3	4583	1	2	TODFEIND	S	N	1	R	B
26	2	7676	0	2	PRACHT	S	P	1	A	S
27	3	1325	0	2	PLANLOS	A	N	2	R	B
28	2	1503	0	2	GALGEN	S	N	1	A	S
29	1	1114	0	1	BELIEBT	A	P	2	P	N
30	1	1055	0	2	ELEND	A	N	2	P	N
31	1	1242	0	1	VATER	S	P	2	P	N
32	2	1624	0	1	KREATIV	A	P	2	A	S
33	2	2541	0	1	WEISE	A	P	2	A	S
34	3	982	0	1	WEIBLICH	A	P	1	R	B
35	2	2173	1	2	RASTLOS	A	N	1	A	S
36	2	2230	1	2	PEINLICH	A	N	1	A	S
37	3	2034	1	2	PERVERS	A	N	1	R	B
38	1	1343	0	2	VIRUS	S	N	2	P	N
39	3	3281	1	2	UNMENSCH	S	N	1	R	B
40	1	1003	0	1	STARK	A	P	1	P	N
41	1	1306	0	2	HERZLOS	A	N	2	P	N
42	3	2102	1	2	FURCHT	S	N	1	R	B
43	2	5125	0	1	EHRLICH	A	P	1	A	S
44	1	1384	0	2	MILITANT	A	N	2	P	N
45	2	2320	1	2	VERLOGEN	A	N	1	A	S
46	1	1606	0	2	TRENNUNG	S	N	2	P	N
47	2	1340	0	1	FROH	A	P	1	A	S
48	2	1193	1	1	EROTIK	S	P	2	A	S
49	3	2161	0	1	STABIL	A	P	1	R	B
50	3	2727	0	1	LOYAL	A	P	1	R	B
51	3	1274	1	2	SCHLECHT	A	N	1	R	B
52	1	1150	0	2	KRANK	A	N	1	P	N
53	1	2510	0	2	ALPTRAUM	S	N	1	P	N
54	1	946	0	1	SONNIG	A	P	2	P	N
55	2	1296	0	1	PERFEKT	A	P	1	A	S
56	2	1597	0	2	GRANATE	S	N	1	A	S
57	2	1210	1	1	MASSAGE	S	P	1	A	S
58	1	1380	0	2	LIEBLOS	A	N	1	P	N
59	3	920	0	1	FREUDE	S	P	1	R	B
60	1	1444	0	1	SCHLAU	A	P	1	P	N
61	1	1575	0	1	HEILUNG	S	P	2	P	N
62	3	1386	1	2	VERRAT	S	N	1	R	B
63	2	1473	0	1	ANMUTIG	A	P	2	A	S
64	1	1173	0	2	SATAN	S	N	2	P	N
65	3	1157	0	1	WARM	A	P	1	R	B
66	3	1517	0	1	JUBEL	S	P	1	R	B
67	2	846	1	1	FERIEN	S	P	2	A	S
68	1	788	0	1	KÜSTE	S	P	1	P	N
69	3	659	1	1	URLAUB	S	P	2	R	B
70	1	961	0	1	STILVOLL	A	P	2	P	N
71	1	2467	0	2	ENTSETZT	A	N	2	P	N
72	3	2221	0	2	UNRECHT	S	N	2	R	B
73	2	1451	1	2	TOXISCH	A	N	1	A	S
74	1	976	0	2	GIERIG	A	N	1	P	N
75	2	1084	0	1	WERTVOLL	A	P	2	A	S
76	1	2786	0	2	ZERLUMPT	A	N	2	P	N
77	1	1243	0	2	AGGRESSION	S	N	2	P	N
78	2	1766	1	2	UNBEQUEM	A	N	1	A	S
79	3	927	1	1	LEBEN	S	P	2	R	B
80	1	778	0	1	KIRSCHE	S	P	1	P	N
81	3	721	0	1	ERDBEERE	S	P	1	R	B
82	1	714	0	1	ERHOLUNG	S	P	1	P	N
83	1	781	0	1	HUMOR	S	P	1	P	N
84	2	3743	0	2	STREIT	S	N	1	A	S
85	2	1796	1	1	ABENDROT	S	P	1	A	S
86	3	1300	1	2	PEINIGER	S	N	1	R	B
87	3	830	1	1	BLÜTE	S	P	2	R	B
88	2	2605	1	2	BODENLOS	A	N	2	A	S
89	3	834	0	1	BUNT	A	P	1	R	B
90	2	1144	0	2	INFERNO	S	N	2	A	S
91	3	865	0	2	VERBOTEN	A	N	2	R	B
92	3	1040	1	2	UNHEIL	S	N	1	R	B
93	2	1739	0	2	NOTFALL	S	N	2	A	S
94	3	1051	1	2	SEKTE	S	N	1	R	B
95	1	3128	0	2	INTRIGE	S	N	1	P	N
96	3	1138	1	2	ZWECKLOS	A	N	1	R	B
97	2	1019	1	1	GEFÜHL	S	P	2	A	S
98	3	860	1	1	FRAULICH	A	P	2	R	B
99	3	1255	1	1	ERFÜLLUNG	S	P	2	R	B
100	2	1316	1	2	GEMEIN	A	N	2	A	S
101	2	1685	0	1	HEITER	A	P	2	A	S
102	3	1344	0	1	POSITIV	A	P	1	R	B
103	1	1028	0	1	LEBENDIG	A	P	1	P	N
104	2	959	1	1	PARADIES	S	P	1	A	S
105	1	1168	0	2	HENKER	S	N	1	P	N
106	3	1328	0	1	KLARHEIT	S	P	1	R	B
107	3	1564	0	2	REICH	A	P	2	R	B
108	3	2570	1	2	PANISCH	A	N	1	R	B
109	2	1001	0	2	ATTENTAT	S	N	2	A	S
110	1	882	0	1	ERFOLG	S	P	2	P	N
111	2	822	1	1	MUTTER	S	P	1	A	S
112	1	1347	0	2	GREUEL	S	N	1	P	N
113	2	2019	0	1	BEQUEM	A	P	2	A	S
114	2	1024	1	1	FREIHEIT	S	P	2	A	S
115	3	783	0	1	AKTIV	A	P	1	R	B
116	1	823	0	1	TAPFER	A	P	1	P	N
117	3	997	0	2	GEISEL	S	N	2	R	B
118	3	1324	0	2	TRAURIG	A	N	2	R	B
119	1	1021	0	1	PRIMA	A	P	2	P	N
120	3	932	1	2	STRAFE	S	N	1	R	B
121	1	1095	0	1	OPTIMIST	S	P	1	P	N
122	1	1217	0	2	TRIST	A	N	1	P	N
123	2	753	1	1	FREIZEIT	S	P	2	A	S
124	2	2154	1	2	BANKROTT	A	N	2	A	S
125	2	858	1	1	HOFFNUNG	S	P	1	A	S
126	1	1334	0	1	TOLERANT	A	P	2	P	N
127	1	1073	0	2	SKLAVE	S	N	1	P	N
128	1	900	0	1	TREU	A	P	2	P	N
