trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	3879	0	1	KÜSTE	S	P	2	B	R
2	3	1775	0	2	BLÜTE	S	P	1	B	R
3	3	1553	0	1	HOFFNUNG	S	P	2	B	R
4	2	3798	0	2	STABIL	A	P	2	S	A
5	1	3230	0	1	PANIK	S	N	2	N	P
6	2	1937	0	1	GEISEL	S	N	2	S	A
7	1	3005	0	1	HENKER	S	N	2	N	P
8	2	1843	0	2	ILLEGAL	A	N	1	S	A
9	2	2144	0	2	VERLETZT	A	N	2	S	A
10	3	2833	0	1	BOSHAFT	A	N	2	B	R
11	1	2740	0	1	SATAN	S	N	1	N	P
12	3	5477	0	1	ZUKUNFT	S	P	2	B	R
13	3	1815	0	1	ZWECKLOS	A	N	2	B	R
14	1	3438	0	1	GIERIG	A	N	2	N	P
15	3	3096	0	1	VATER	S	P	2	B	R
16	1	2725	0	1	LIEBLOS	A	N	2	N	P
17	1	2030	0	2	PARADIES	S	P	1	N	P
18	2	1666	0	2	EINSAM	A	N	1	S	A
19	2	1775	0	1	FRÜHJAHR	S	P	1	S	A
20	2	1971	0	1	PRACHT	S	P	2	S	A
21	1	2222	0	1	KRANK	A	N	1	N	P
22	1	4515	0	2	ABENDROT	S	P	2	N	P
23	1	1956	0	2	TAPFER	A	P	2	N	P
24	3	2723	0	2	FREUND	S	P	1	B	R
25	3	1965	0	2	MUTIG	A	P	1	B	R
26	1	2086	0	2	KREATIV	A	P	1	N	P
27	1	1614	0	2	STRAND	S	P	1	N	P
28	2	1886	0	2	HERZLOS	A	N	2	S	A
29	1	6649	0	1	BANKROTT	A	N	2	N	P
30	2	1347	0	1	RETTER	S	P	2	S	A
31	2	1042	0	1	FREIHEIT	S	P	1	S	A
32	2	1273	0	2	GRUSELIG	A	N	2	S	A
33	1	2653	0	2	HIMMEL	S	P	1	N	P
34	3	2728	0	1	ENTSETZT	A	N	2	B	R
35	1	1513	0	1	TREULOS	A	N	1	N	P
36	1	4542	0	1	TYRANN	S	N	2	N	P
37	3	1838	1	2	SONNIG	A	P	2	B	R
38	2	2194	0	1	REVOLVER	S	N	2	S	A
39	1	2192	0	2	SINNLICH	A	P	1	N	P
40	2	2015	0	1	FORTUNA	S	P	1	S	A
41	1	2223	0	1	UNMENSCH	S	N	2	N	P
42	1	1820	0	2	WISSEN	S	P	2	N	P
43	2	3455	0	2	SILBERN	A	P	1	S	A
44	3	2932	0	2	SEEKRANK	A	N	1	B	R
45	1	1797	0	1	SCHLECHT	A	N	2	N	P
46	3	4093	0	1	SATT	A	P	2	B	R
47	1	2495	0	1	GIFTGAS	S	N	2	N	P
48	1	1646	0	2	ANMUTIG	A	P	2	N	P
49	2	2971	0	2	KORRUPT	A	N	1	S	A
50	2	1666	0	2	PERFEKT	A	P	1	S	A
51	3	2705	0	1	POSITIV	A	P	2	B	R
52	3	1495	0	2	NEIDISCH	A	N	1	B	R
53	2	1357	0	1	ENERGIE	S	P	2	S	A
54	3	2767	0	1	STRAFBAR	A	N	2	B	R
55	2	1588	0	2	RASTLOS	A	N	1	S	A
56	3	1886	0	2	GEWALT	S	N	1	B	R
57	3	2032	0	1	HALBTOT	A	N	2	B	R
58	2	1587	0	1	ATTENTAT	S	N	2	S	A
59	3	3103	0	1	TALENT	S	P	2	B	R
60	1	2708	0	2	LEBEN	S	P	1	N	P
61	3	2478	0	2	HARMONIE	S	P	1	B	R
62	2	1869	0	2	REIZVOLL	A	P	2	S	A
63	3	2320	0	1	PARTNER	S	P	2	B	R
64	3	2049	0	2	LEBLOS	A	N	1	B	R
65	2	1493	0	2	UNGESUND	A	N	1	S	A
66	2	1801	0	2	ZART	A	P	1	S	A
67	3	1983	0	1	TROSTLOS	A	N	2	B	R
68	1	2361	0	2	ZUHAUSE	S	P	1	N	P
69	2	3040	0	2	ASCHFAHL	A	N	1	S	A
70	1	2337	0	2	HUMOR	S	P	2	N	P
71	3	3087	0	2	VERRAT	S	N	1	B	R
72	1	2290	0	1	ANGRIFF	S	N	1	N	P
73	2	2482	0	1	URLAUB	S	P	1	S	A
74	3	1625	0	2	MASSAGE	S	P	1	B	R
75	1	3104	0	2	SINNVOLL	A	P	2	N	P
76	2	2740	1	2	STRAFTAT	S	N	1	S	A
77	3	1352	0	1	NOTFALL	S	N	2	B	R
78	1	3692	0	1	PLANLOS	A	N	2	N	P
79	2	2588	0	1	UNFALL	S	N	1	S	A
80	3	2467	0	1	SABOTEUR	S	N	2	B	R
81	1	2315	0	1	UNHEIL	S	N	1	N	P
82	2	1606	0	1	FREIZEIT	S	P	2	S	A
83	1	3453	0	2	REICH	A	P	1	N	P
