trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	4723	0	1	STARK	A	P	2	B	R
2	3	897	1	2	INFERNO	S	N	2	B	R
3	3	785	0	1	ELEND	A	N	2	B	R
4	2	2008	0	2	WEISE	A	P	2	S	A
5	1	2221	0	2	GUTARTIG	A	P	1	N	P
6	2	2416	0	1	KLARHEIT	S	P	1	S	A
7	1	2201	1	2	BRUTAL	A	N	2	N	P
8	2	3100	0	2	STRAFBAR	A	N	1	S	A
9	2	1400	0	1	PRACHT	S	P	1	S	A
10	3	1764	0	1	WAHRHEIT	S	P	2	B	R
11	1	1882	0	1	MASSAKER	S	N	2	N	P
12	3	1614	0	1	ANGRIFF	S	N	2	B	R
13	3	1574	0	2	AKTIV	A	P	1	B	R
14	1	1568	0	1	GREUEL	S	N	1	N	P
15	3	2308	0	1	WISSEN	S	P	2	B	R
16	1	1233	0	1	BANKROTT	A	N	1	N	P
17	1	1760	0	1	TUMOR	S	N	1	N	P
18	2	1309	0	1	BLÜTE	S	P	1	S	A
19	2	1347	0	1	UNHEIL	S	N	1	S	A
20	2	1601	1	2	UNTREUE	S	N	2	S	A
21	1	3374	0	1	SABOTEUR	S	N	2	N	P
22	1	1794	0	2	TAPFER	A	P	1	N	P
23	1	3044	0	1	AGGRESSION	S	N	1	N	P
24	3	1258	0	1	HUMOR	S	P	2	B	R
25	3	1057	0	1	LEBLOS	A	N	2	B	R
26	1	1615	0	1	BLUTIG	A	N	1	N	P
27	1	1032	0	1	GIERIG	A	N	2	N	P
28	2	3337	0	1	GEFAHR	S	N	1	S	A
29	1	3235	0	2	ERDBEERE	S	P	1	N	P
30	2	1843	0	2	LIEB	A	P	1	S	A
31	2	2199	0	1	NOTFALL	S	N	2	S	A
32	2	1380	0	2	UNFAIR	A	N	2	S	A
33	1	1319	1	2	PANIK	S	N	2	N	P
34	3	2376	0	2	SONNIG	A	P	1	B	R
35	1	1832	0	1	LAUNISCH	A	N	1	N	P
36	3	1551	0	1	HUMORLOS	A	N	2	B	R
37	1	1573	0	1	MACHTLOS	A	N	2	N	P
38	2	1364	0	1	GIFTGAS	S	N	1	S	A
39	3	1863	0	2	FERIEN	S	P	1	B	R
40	1	1526	0	1	OHRFEIGE	S	N	1	N	P
41	2	1324	0	1	TRAUMA	S	N	1	S	A
42	3	1471	0	2	TRAURIG	A	N	1	B	R
43	1	1787	0	2	SPRITZIG	A	P	1	N	P
44	2	2119	0	2	SILBERN	A	P	1	S	A
45	3	1337	0	1	ILLEGAL	A	N	2	B	R
46	1	2006	0	2	KÜSTE	S	P	1	N	P
47	2	2441	0	2	GRANDIOS	A	P	2	S	A
48	1	1533	1	2	DEKADENT	A	N	2	N	P
49	3	3412	0	1	FROH	A	P	2	B	R
50	1	1467	0	2	ERHOLUNG	S	P	1	N	P
51	2	1830	0	2	BOSHAFT	A	N	1	S	A
52	3	1542	0	1	WEHRLOS	A	N	2	B	R
53	2	2815	0	1	FREUDE	S	P	1	S	A
54	2	1196	0	2	VITAL	A	P	1	S	A
55	3	1249	0	1	LUSTLOS	A	N	2	B	R
56	2	1126	0	1	JUBEL	S	P	1	S	A
57	1	1282	0	2	TOPFIT	A	P	2	N	P
58	2	1364	0	1	KLUGHEIT	S	P	1	S	A
59	1	1320	0	1	INTRIGE	S	N	2	N	P
60	3	1271	0	2	GEMEIN	A	N	1	B	R
61	2	1299	0	1	STREIT	S	N	1	S	A
62	3	1803	0	2	STRAND	S	P	1	B	R
63	2	2173	0	1	PARTNER	S	P	1	S	A
