trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	3613	0	1	LEBENDIG	A	P	1	P	N
2	3	2579	0	1	WEHRLOS	A	N	1	R	B
3	2	1689	0	2	PERVERS	A	N	2	S	A
4	1	3758	0	2	SKLAVE	S	N	2	P	N
5	2	1595	0	2	TREULOS	A	N	2	S	A
6	1	3346	0	1	GESCHENK	S	P	1	P	N
7	1	1854	0	1	PERFEKT	A	P	2	P	N
8	2	1248	0	2	EINSAM	A	N	2	S	A
9	3	1239	0	1	MACHTLOS	A	N	1	R	B
10	1	2906	0	1	HARMONIE	S	P	2	P	N
11	3	4907	0	2	HEITER	A	P	2	R	B
12	1	2589	0	2	ELEND	A	N	2	P	N
13	1	1253	1	1	ATTENTAT	S	N	2	P	N
14	2	3658	0	2	SCHLAU	A	P	2	S	A
15	2	1435	0	2	UNGESUND	A	N	1	S	A
16	3	2633	0	1	FURCHT	S	N	1	R	B
17	3	1302	0	1	LIEBLOS	A	N	1	R	B
18	2	2985	0	2	VERWEINT	A	N	2	S	A
19	3	3198	0	1	VITAL	A	P	1	R	B
20	2	1855	0	2	GRUSELIG	A	N	1	S	A
21	3	3538	0	2	TAKTVOLL	A	P	2	R	B
22	3	2444	0	1	ANGRIFF	S	N	1	R	B
23	2	2032	0	1	VERTRAUEN	S	P	1	S	A
24	3	4012	0	2	HEILUNG	S	P	2	R	B
25	1	3337	0	1	LOYAL	A	P	2	P	N
26	3	1880	0	1	SADISMUS	S	N	1	R	B
27	2	2323	0	2	FREUDIG	A	P	1	S	A
28	3	1528	0	1	ERDBEERE	S	P	1	R	B
29	3	1553	0	1	PEINLICH	A	N	1	R	B
30	2	1208	0	1	FREUND	S	P	2	S	A
31	2	1295	0	2	TRAGISCH	A	N	2	S	A
32	3	1667	0	1	HUMORLOS	A	N	1	R	B
33	1	1569	0	1	STARK	A	P	2	P	N
34	2	1543	0	2	ASOZIAL	A	N	2	S	A
35	1	2207	0	1	BLUME	S	P	1	P	N
36	3	2736	0	1	STRAFBAR	A	N	1	R	B
37	1	2461	0	1	AKTIV	A	P	2	P	N
38	2	4532	0	1	BLUTTAT	S	N	1	S	A
39	3	2301	0	2	FORTUNA	S	P	2	R	B
40	1	3139	0	2	INTRIGE	S	N	2	P	N
41	2	2015	0	1	TYRANN	S	N	2	S	A
42	3	1332	0	1	PANISCH	A	N	1	R	B
43	1	1579	0	1	URLAUB	S	P	1	P	N
44	2	1484	0	1	ENERGIE	S	P	1	S	A
45	3	1729	0	2	BEGABUNG	S	P	2	R	B
46	1	1995	0	2	PEINIGER	S	N	2	P	N
47	2	1682	0	2	LUKRATIV	A	P	2	S	A
48	1	1930	0	2	MONSTRUM	S	N	2	P	N
49	3	1198	0	1	VIRUS	S	N	1	R	B
50	1	3610	0	2	NOTFALL	S	N	2	P	N
51	2	1495	0	1	STRAFE	S	N	1	S	A
52	3	3331	0	1	ZART	A	P	1	R	B
53	2	2381	0	1	ALPTRAUM	S	N	1	S	A
54	2	1898	0	1	KLARHEIT	S	P	1	S	A
55	3	1637	1	1	HALBTOT	A	N	2	R	B
56	2	2682	0	1	AGGRESSION	S	N	1	S	A
57	1	2582	0	1	BEFREIUNG	S	P	2	P	N
58	2	1614	0	1	ATEMNOT	S	N	2	S	A
59	1	1562	0	1	NATUR	S	P	2	P	N
60	3	1877	0	2	RETTER	S	P	2	R	B
61	2	1606	0	2	TOPFIT	A	P	2	S	A
62	3	3309	0	2	ZIELLOS	A	N	2	R	B
63	2	1311	0	1	HENKER	S	N	2	S	A
64	1	4729	0	2	KORRUPT	A	N	1	P	N
65	1	2587	0	1	GEWINN	S	P	2	P	N
66	1	1154	0	2	UNHEIL	S	N	2	P	N
67	2	1737	0	1	LEPRA	S	N	2	S	A
68	2	2314	0	2	PLANLOS	A	N	1	S	A
69	3	1878	0	2	SUPER	A	P	2	R	B
70	2	3111	0	1	PARTNER	S	P	2	S	A
71	3	2044	0	1	STRAND	S	P	1	R	B
72	3	1239	0	1	MASSAKER	S	N	1	R	B
73	3	1070	0	1	GEWALT	S	N	1	R	B
74	2	3135	0	1	KÜSTE	S	P	2	S	A
75	1	1593	0	1	BLÜTE	S	P	1	P	N
76	2	2879	0	1	IDYLLE	S	P	1	S	A
77	1	1330	0	1	TALENT	S	P	2	P	N
78	2	1413	0	1	EROTIK	S	P	2	S	A
79	2	3995	0	2	WEIBLICH	A	P	1	S	A
80	3	6047	0	2	HOFFNUNG	S	P	2	R	B
81	1	5894	0	2	ANOMAL	A	N	1	P	N
82	3	2581	0	2	FRAULICH	A	P	2	R	B
83	3	2484	0	1	VERLOGEN	A	N	1	R	B
