trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	1857	0	2	SONNABEND	S	P	1	B	R
2	3	2126	0	2	DEKADENT	A	N	1	B	R
3	3	1331	0	1	LEPRA	S	N	2	B	R
4	2	2853	0	2	BLUME	S	P	2	A	S
5	1	3480	0	2	KLUGHEIT	S	P	2	N	P
6	2	3566	0	2	ERHOLUNG	S	P	1	A	S
7	1	2067	0	1	ZWECKLOS	A	N	2	N	P
8	2	3167	0	2	TERROR	S	N	2	A	S
9	2	3992	0	1	HEITER	A	P	1	A	S
10	3	2075	0	2	STRAND	S	P	1	B	R
11	1	1923	0	2	KLARHEIT	S	P	2	N	P
12	3	2172	0	1	BLÜTE	S	P	2	B	R
13	3	2358	0	2	TREU	A	P	1	B	R
14	1	1516	0	2	GESCHENK	S	P	1	N	P
15	3	2167	0	1	SPRITZIG	A	P	2	B	R
16	1	3323	0	2	GRANDIOS	A	P	1	N	P
17	1	2154	0	2	STABIL	A	P	1	N	P
18	2	3887	0	2	UNTREUE	S	N	2	A	S
19	2	2181	0	2	SOMMER	S	P	2	A	S
20	2	2460	0	1	GRUSELIG	A	N	1	A	S
21	1	2127	0	1	WEHRLOS	A	N	1	N	P
22	1	2535	0	1	VERLOGEN	A	N	2	N	P
23	1	1837	0	2	POSITIV	A	P	2	N	P
24	3	2859	0	1	BRUTAL	A	N	2	B	R
25	3	2374	0	1	ENERGIE	S	P	2	B	R
26	1	2938	0	2	KIRSCHE	S	P	1	N	P
27	1	2590	0	2	TOLERANZ	S	P	2	N	P
28	2	2701	0	1	BLUTIG	A	N	2	A	S
29	1	2870	0	2	ANMUTIG	A	P	1	N	P
30	2	3948	0	1	TROSTLOS	A	N	1	A	S
31	2	1783	0	2	KÜSTE	S	P	2	A	S
32	2	2308	0	2	BEFREIUNG	S	P	2	A	S
33	1	1469	0	2	WERTVOLL	A	P	1	N	P
34	3	2670	0	2	ZUKUNFT	S	P	1	B	R
35	1	1901	0	1	KORRUPT	A	N	2	N	P
36	2	1950	0	1	KRANK	A	N	2	A	S
37	3	2214	0	2	SCHLACHT	S	N	1	B	R
38	1	1585	0	2	PFIFFIG	A	P	2	N	P
39	3	2404	0	1	PERVERS	A	N	2	B	R
40	1	1872	0	2	FROH	A	P	1	N	P
41	1	1734	0	2	PARTNER	S	P	1	N	P
42	3	2340	0	2	UNFALL	S	N	1	B	R
43	2	3359	0	2	GEMETZEL	S	N	2	A	S
44	1	2076	0	1	ÜBERFALL	S	N	2	N	P
45	2	3034	0	2	AGGRESSION	S	N	1	A	S
46	1	2430	0	1	TRENNUNG	S	N	1	N	P
47	2	2100	0	1	BODENLOS	A	N	2	A	S
48	2	2510	0	1	AKTIV	A	P	1	A	S
49	3	1846	0	2	SONNIG	A	P	1	B	R
50	3	4304	0	1	IRRSINN	S	N	2	B	R
51	3	2039	0	1	SAUBER	A	P	2	B	R
52	1	2264	0	2	OPTIMIST	S	P	2	N	P
53	1	1851	0	2	ERDBEERE	S	P	1	N	P
54	1	1980	0	2	PARADIES	S	P	2	N	P
55	2	1554	0	1	SINNLICH	A	P	1	A	S
56	2	2233	0	2	ATEMNOT	S	N	1	A	S
57	2	1666	0	2	IDYLLE	S	P	2	A	S
58	1	3621	0	1	BANKROTT	A	N	2	N	P
59	3	2713	0	1	SINNVOLL	A	P	2	B	R
60	1	1410	0	2	GEWINN	S	P	2	N	P
61	1	1911	0	2	PRIMA	A	P	1	N	P
62	3	2646	0	1	FURCHT	S	N	2	B	R
63	2	4224	0	1	TOLERANT	A	P	1	A	S
64	1	2464	0	1	TRAURIG	A	N	1	N	P
65	3	2256	0	1	GUTARTIG	A	P	2	B	R
66	3	1795	0	1	LEBLOS	A	N	2	B	R
67	2	2396	0	1	GENIAL	A	P	2	A	S
68	1	1287	0	2	LOYAL	A	P	1	N	P
69	3	2265	0	1	ALPTRAUM	S	N	2	B	R
70	1	4789	0	1	SADISMUS	S	N	2	N	P
71	1	1945	0	1	UNBEQUEM	A	N	2	N	P
72	3	1755	0	1	FREUND	S	P	2	B	R
73	2	2640	0	2	TALENT	S	P	2	A	S
74	1	1998	0	2	LIEB	A	P	1	N	P
75	2	3665	0	1	PEINLICH	A	N	2	A	S
76	1	3004	0	2	FRIEDEN	S	P	2	N	P
77	1	3573	0	2	SILBERN	A	P	1	N	P
78	2	2808	0	2	GREUEL	S	N	1	A	S
79	3	2514	0	1	STILVOLL	A	P	2	B	R
80	1	1741	0	2	EHRLICH	A	P	2	N	P
81	3	2267	0	1	HUMORLOS	A	N	2	B	R
82	1	1947	0	2	WEIBLICH	A	P	1	N	P
83	1	3900	0	1	VERWEINT	A	N	2	N	P
84	2	2205	0	1	LUSTLOS	A	N	1	A	S
85	2	1927	0	1	HUMAN	A	P	2	A	S
86	3	2863	0	2	VITAL	A	P	1	B	R
87	3	3644	0	1	PERFEKT	A	P	2	B	R
88	2	4139	0	1	SATT	A	P	2	A	S
89	3	3353	0	1	NOTFALL	S	N	2	B	R
90	2	3258	0	2	FERIEN	S	P	2	A	S
91	3	3169	0	1	INFERNO	S	N	2	B	R
92	3	4556	0	2	GIERIG	A	N	1	B	R
93	2	3977	0	1	REICH	A	P	1	A	S
94	3	2215	0	1	ENTSETZT	A	N	2	B	R
95	1	1742	0	1	SCHMERZ	S	N	1	N	P
96	3	2347	0	1	TAKTVOLL	A	P	2	B	R
97	2	2255	0	2	FRÜHJAHR	S	P	2	A	S
98	3	1983	0	2	GEWALT	S	N	1	B	R
99	3	1946	0	2	ERFÜLLUNG	S	P	1	B	R
100	2	2491	0	1	WEISE	A	P	2	A	S
101	2	1453	0	2	PRACHT	S	P	2	A	S
102	3	2904	0	2	MUTTER	S	P	1	B	R
103	1	2386	0	1	MACHTLOS	A	N	2	N	P
104	2	2027	0	1	LIEBLOS	A	N	2	A	S
105	1	2097	0	2	TOLL	A	P	1	N	P
106	3	2256	0	1	STARK	A	P	2	B	R
107	1	2108	0	2	LEBEN	S	P	2	N	P
108	2	2157	0	1	TREULOS	A	N	1	A	S
109	3	2703	0	1	MORDTAT	S	N	2	B	R
110	1	3886	1	2	ASOZIAL	A	N	1	N	P
111	2	6493	0	2	UNMENSCH	S	N	1	A	S
112	3	2756	0	2	FREIHEIT	S	P	1	B	R
113	1	2903	0	2	VATER	S	P	1	N	P
114	2	1541	0	1	REIZVOLL	A	P	2	A	S
115	3	2596	0	1	NEIDISCH	A	N	2	B	R
116	1	1833	0	1	SEKTE	S	N	1	N	P
117	2	2744	0	1	LABIL	A	N	1	A	S
118	1	1689	0	2	WAHRHEIT	S	P	1	N	P
119	3	2875	0	2	FREUDLOS	A	N	1	B	R
120	1	1764	0	2	LUKRATIV	A	P	2	N	P
121	2	2883	0	2	WISSEN	S	P	2	A	S
122	3	2366	0	1	JUBEL	S	P	2	B	R
123	2	2368	0	1	LAUNISCH	A	N	1	A	S
124	2	1619	0	2	MASSAGE	S	P	1	A	S
125	3	2356	0	1	HEILUNG	S	P	2	B	R
126	2	6827	0	1	ROBUST	A	P	1	A	S
127	1	2678	0	1	GEFAHR	S	N	2	N	P
128	2	4988	0	2	ABENDROT	S	P	2	A	S
129	1	3364	0	1	KOLLAPS	S	N	1	N	P
130	3	2285	0	2	BUNT	A	P	1	B	R
131	2	5479	0	1	KRAFTLOS	A	N	1	A	S
132	3	1434	0	2	NETT	A	P	1	B	R
133	2	2981	0	2	SATAN	S	N	2	A	S
134	1	1974	0	1	PLEITE	A	N	1	N	P
135	1	1922	0	1	PANIK	S	N	2	N	P
136	1	1530	0	2	ERFOLG	S	P	1	N	P
137	2	1899	0	2	HIMMEL	S	P	1	A	S
138	2	2572	0	2	INTRIGE	S	N	1	A	S
139	3	1841	0	2	ZIELLOS	A	N	1	B	R
140	2	2719	0	1	LEBENDIG	A	P	2	A	S
141	1	2478	0	2	ZUHAUSE	S	P	1	N	P
142	3	1878	0	2	ABENDROT	S	P	1	B	R
143	2	1646	0	2	UNMENSCH	S	N	1	A	S
144	1	1381	0	1	KOLLAPS	S	N	1	N	P
145	2	3120	0	1	PLANLOS	A	N	1	A	S
146	1	1666	0	2	GEFÜHL	S	P	1	N	P
147	1	2824	0	2	GENIAL	A	P	1	N	P
148	2	2451	0	2	EROTIK	S	P	2	A	S
149	3	2291	0	1	GIFTGAS	S	N	2	B	R
150	1	2000	0	1	VERRAT	S	N	1	N	P
151	3	2541	0	1	SPRITZIG	A	P	2	B	R
152	1	1672	0	2	HEILUNG	S	P	1	N	P
153	1	1515	0	1	IRRSINN	S	N	2	N	P
154	2	1915	0	2	MORDFALL	S	N	1	A	S
155	2	1572	0	1	TOLERANT	A	P	2	A	S
156	3	2625	0	2	SEEKRANK	A	N	1	B	R
157	3	1671	0	2	GEWINN	S	P	1	B	R
158	2	1765	0	2	ERFÜLLUNG	S	P	1	A	S
159	3	2353	0	2	MONSTRUM	S	N	1	B	R
160	2	2903	0	1	ZART	A	P	2	A	S
161	3	2026	0	1	FERIEN	S	P	2	B	R
162	3	3269	0	2	FRAULICH	A	P	1	B	R
163	2	2898	0	1	FROH	A	P	1	A	S
164	3	3350	0	1	SOMMER	S	P	2	B	R
165	1	1912	0	2	BEGABUNG	S	P	2	N	P
166	3	1772	0	2	MORDTAT	S	N	1	B	R
167	2	6187	0	1	STRAFBAR	A	N	1	A	S
168	3	3031	0	1	AGGRESSION	S	N	2	B	R
169	3	1146	0	1	STARK	A	P	2	B	R
170	2	2258	0	1	GRATIS	A	P	2	A	S
171	2	1313	0	1	LIEB	A	P	1	A	S
172	3	2367	0	2	HUMOR	S	P	1	B	R
173	1	2556	0	1	LAUNISCH	A	N	2	N	P
174	2	1794	0	1	VERTRAUT	A	P	2	A	S
175	1	1489	0	2	URLAUB	S	P	1	N	P
176	2	1657	0	2	GALGEN	S	N	1	A	S
177	3	2001	0	1	GESCHENK	S	P	2	B	R
178	1	1651	0	2	WAHRHEIT	S	P	2	N	P
179	3	1887	0	1	VITAL	A	P	2	B	R
180	1	1545	0	2	NETT	A	P	2	N	P
181	1	1475	0	1	KRAFTLOS	A	N	2	N	P
182	3	2206	0	1	STREIT	S	N	2	B	R
183	2	1248	0	1	VERLOGEN	A	N	1	A	S
184	1	1823	0	2	ZUKUNFT	S	P	1	N	P
185	2	1782	0	1	TREULOS	A	N	1	A	S
186	1	2728	0	1	PSYCHOSE	S	N	1	N	P
187	2	1721	0	2	UNHEIL	S	N	1	A	S
188	2	1982	0	2	FORTUNA	S	P	1	A	S
189	3	2072	0	1	TRAGISCH	A	N	2	B	R
190	3	1888	0	2	DEKADENT	A	N	1	B	R
191	3	2842	0	1	FREUDLOS	A	N	2	B	R
192	1	1609	0	1	SCHLACHT	S	N	2	N	P
193	1	1613	0	2	VERTRAUEN	S	P	1	N	P
194	1	1898	0	1	RASTLOS	A	N	2	N	P
195	2	1977	0	2	DROHUNG	S	N	1	A	S
196	2	2191	0	1	SUPER	A	P	1	A	S
197	2	1969	1	2	ELEND	A	N	1	A	S
198	1	1669	0	2	BELIEBT	A	P	1	N	P
199	3	2059	0	2	LOYAL	A	P	1	B	R
200	1	2313	0	1	GRAUSAM	A	N	2	N	P
201	1	2209	0	2	MUTIG	A	P	1	N	P
202	3	1611	0	2	GIERIG	A	N	1	B	R
203	2	2240	0	2	PARTY	S	P	2	A	S
204	1	1592	0	2	JUBEL	S	P	1	N	P
205	3	1925	0	2	UNTREUE	S	N	1	B	R
206	3	1720	0	2	SKLAVE	S	N	1	B	R
207	2	2623	0	2	HOFFNUNG	S	P	2	A	S
208	1	2450	0	1	GEISEL	S	N	2	N	P
209	3	2072	0	2	TERROR	S	N	1	B	R
210	1	2451	0	2	HEITER	A	P	1	N	P
211	3	1978	0	1	LIEBLOS	A	N	2	B	R
212	1	2130	0	1	UNRECHT	S	N	1	N	P
213	2	1538	0	1	WEISE	A	P	2	A	S
214	3	2312	0	2	EINSAM	A	N	1	B	R
215	1	1582	0	2	ANMUTIG	A	P	2	N	P
216	2	1760	0	2	MUTTER	S	P	2	A	S
217	3	2301	0	2	ATEMNOT	S	N	1	B	R
218	1	2776	0	1	MASSAKER	S	N	1	N	P
219	2	1969	0	1	BRILLANT	A	P	1	A	S
220	3	2231	0	2	GEMETZEL	S	N	1	B	R
221	1	2585	0	1	TRIST	A	N	1	N	P
222	2	3228	0	2	NATUR	S	P	2	A	S
223	1	2392	0	1	NEIDISCH	A	N	2	N	P
224	3	1673	0	2	BLÜTE	S	P	1	B	R
225	1	1766	0	2	FREUND	S	P	2	N	P
226	2	2182	0	1	PLEITE	A	N	2	A	S
227	3	1633	0	2	ABSTURZ	S	N	1	B	R
228	2	2056	0	2	LEPRA	S	N	2	A	S
229	2	4079	0	1	TOPFIT	A	P	1	A	S
230	3	1984	0	1	VIRUS	S	N	2	B	R
231	2	1760	0	1	HEILFROH	A	P	1	A	S
232	1	3114	0	1	LUSTLOS	A	N	1	N	P
233	2	4535	1	1	FURCHT	S	N	2	A	S
234	1	4708	0	2	FRÜHJAHR	S	P	1	N	P
235	3	1728	0	1	LEBLOS	A	N	2	B	R
236	2	2412	0	2	NOTFALL	S	N	1	A	S
237	3	1754	0	1	HENKER	S	N	2	B	R
238	2	2138	0	1	SATT	A	P	1	A	S
239	1	3311	0	2	WERTVOLL	A	P	2	N	P
240	1	1562	0	1	SADISMUS	S	N	1	N	P
