trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	2026	0	1	POSITIV	A	P	2	P	N
2	3	987	1	2	TROSTLOS	A	N	1	R	B
3	2	985	1	1	SCHLAU	A	P	1	S	A
4	1	1388	0	2	ÜBERFALL	S	N	2	P	N
5	2	1250	0	1	VERTRAUEN	S	P	2	S	A
6	1	1262	0	1	SAUBER	A	P	2	P	N
7	1	1258	0	2	TYRANN	S	N	1	P	N
8	2	1301	0	1	PSYCHOSE	S	N	1	S	A
9	3	2013	1	1	WISSEN	S	P	2	R	B
10	1	1460	0	1	PARTY	S	P	1	P	N
11	3	1583	1	2	ANOMAL	A	N	1	R	B
12	1	1902	1	1	PLANLOS	A	N	2	P	N
13	1	1497	1	2	STABIL	A	P	2	P	N
14	2	1133	0	1	FREUND	S	P	2	S	A
15	2	3013	0	2	ZIELLOS	A	N	1	S	A
16	3	1590	1	2	LUSTLOS	A	N	1	R	B
17	3	1188	1	1	HEITER	A	P	2	R	B
18	2	2455	0	2	TREU	A	P	1	S	A
19	3	1357	0	1	NETT	A	P	1	R	B
20	2	2222	0	2	STARK	A	P	1	S	A
21	3	3936	0	2	ZERLUMPT	A	N	2	R	B
22	3	788	0	2	LEICHNAM	S	N	2	R	B
23	2	4628	0	1	PANIK	S	N	1	S	A
24	3	3951	0	1	VERTRAUT	A	P	1	R	B
25	1	5850	0	1	SINNVOLL	A	P	2	P	N
26	3	2984	0	1	BLUTTAT	S	N	1	R	B
27	2	2930	0	2	GUTARTIG	A	P	2	S	A
28	3	3239	0	1	HERZLOS	A	N	1	R	B
29	3	2669	0	2	SEEKRANK	A	N	2	R	B
30	2	3011	0	1	MASSAGE	S	P	1	S	A
31	2	1783	0	1	ERHOLUNG	S	P	1	S	A
32	3	2964	1	1	IRRSINN	S	N	2	R	B
33	1	4537	1	2	ERFOLG	S	P	1	P	N
34	2	4867	1	1	WEISE	A	P	1	S	A
35	1	3456	0	2	HILFLOS	A	N	1	P	N
36	2	2309	0	1	MUSIK	S	P	1	S	A
37	3	2143	0	2	BEFREIUNG	S	P	2	R	B
38	1	96	0	2	SKLAVE	S	N	1	P	N
39	3	2278	0	2	LIEBLOS	A	N	2	R	B
40	1	2957	0	1	GEFÜHL	S	P	2	P	N
41	1	3295	0	1	LUKRATIV	A	P	2	P	N
42	3	2346	0	2	TUMOR	S	N	2	R	B
43	2	2599	0	2	ENTSETZT	A	N	1	S	A
44	1	2867	0	1	MUNTER	A	P	1	P	N
45	2	2430	0	2	BRILLANT	A	P	1	S	A
46	1	3288	1	2	PERFEKT	A	P	2	P	N
47	2	2902	0	2	TRIST	A	N	1	S	A
48	2	2868	0	2	TREULOS	A	N	1	S	A
49	3	5166	0	1	TODFEIND	S	N	1	R	B
50	3	2313	0	2	GEISEL	S	N	2	R	B
51	3	2053	0	2	FREUDIG	A	P	2	R	B
52	1	2762	0	1	FREIZEIT	S	P	1	P	N
53	1	2254	0	1	HUMOR	S	P	1	P	N
54	1	2779	0	2	ABSTURZ	S	N	2	P	N
55	2	3379	0	2	WARM	A	P	1	S	A
56	2	2564	0	2	BODENLOS	A	N	1	S	A
57	2	2490	0	2	SCHLECHT	A	N	2	S	A
58	1	3062	1	1	RASTLOS	A	N	2	P	N
59	3	4269	0	2	OPTIMIST	S	P	2	R	B
60	1	3101	0	1	SPRITZIG	A	P	2	P	N
61	1	3383	0	1	KREATIV	A	P	1	P	N
62	3	3350	0	2	WEISHEIT	S	P	2	R	B
63	2	3319	0	2	LEBENDIG	A	P	2	S	A
64	1	3697	0	2	GIERIG	A	N	1	P	N
65	3	3362	0	2	FANTASIE	S	P	2	R	B
66	3	2518	0	2	ATEMNOT	S	N	2	R	B
67	2	2260	0	1	FERIEN	S	P	1	S	A
68	1	3284	1	2	ERDBEERE	S	P	2	P	N
69	3	2867	0	2	UNGESUND	A	N	2	R	B
70	1	3102	0	1	FRIEDEN	S	P	1	P	N
71	3	3243	1	2	UNMENSCH	S	N	1	R	B
72	3	3047	0	1	MUTIG	A	P	1	R	B
73	3	2567	0	1	PERVERS	A	N	1	R	B
74	2	1790	0	1	ENERGIE	S	P	2	S	A
75	1	2439	0	1	URLAUB	S	P	1	P	N
76	2	2295	0	2	LEBLOS	A	N	2	S	A
77	1	2411	0	1	VITAL	A	P	2	P	N
78	2	2457	0	1	TALENT	S	P	2	S	A
79	2	1890	0	1	WAHRHEIT	S	P	1	S	A
80	3	2766	0	2	SATT	A	P	2	R	B
81	1	3337	0	2	NEIDISCH	A	N	2	P	N
82	3	4057	0	1	GIFTGAS	S	N	1	R	B
83	3	1667	0	2	HARMONIE	S	P	2	R	B
84	1	4356	0	2	SEKTE	S	N	2	P	N
85	3	3228	0	2	RETTER	S	P	2	R	B
86	1	3985	0	2	PLEITE	A	N	2	P	N
87	1	2647	0	2	GEFAHR	S	N	1	P	N
88	2	1723	0	1	SONNABEND	S	P	2	S	A
89	2	2205	0	1	UNTREUE	S	N	1	S	A
90	2	3717	1	1	REICH	A	P	1	S	A
91	1	2818	0	2	MACHTLOS	A	N	2	P	N
92	1	2338	0	2	SCHMERZ	S	N	2	P	N
93	1	2622	0	2	TRAUMA	S	N	1	P	N
94	3	1763	0	2	BESTIE	S	N	2	R	B
95	3	2961	1	2	NATUR	S	P	1	R	B
96	1	3595	0	2	HUMORLOS	A	N	1	P	N
97	1	2751	0	1	HEILUNG	S	P	2	P	N
98	2	2603	0	1	HENKER	S	N	1	S	A
99	1	3137	0	2	TRAGISCH	A	N	1	P	N
100	2	2307	0	2	TOLL	A	P	1	S	A
101	2	3767	0	1	ZUHAUSE	S	P	2	S	A
102	2	2052	0	1	OHRFEIGE	S	N	2	S	A
103	1	2497	0	2	PANISCH	A	N	1	P	N
104	3	2147	0	2	HALBTOT	A	N	2	R	B
105	1	1553	0	2	REVOLVER	S	N	2	P	N
106	3	3295	0	1	PRIMA	A	P	1	R	B
107	1	4175	0	1	SILBERN	A	P	1	P	N
108	2	1824	0	1	INSEL	S	P	2	S	A
109	3	1908	0	2	KRANK	A	N	2	R	B
110	1	3127	0	2	LEPRA	S	N	1	P	N
111	2	2095	0	1	FREIHEIT	S	P	2	S	A
112	3	1849	0	2	BLUTIG	A	N	2	R	B
113	1	2478	0	1	GESUND	A	P	1	P	N
114	2	3160	0	2	FREUDLOS	A	N	2	S	A
115	3	3001	0	2	ANGRIFF	S	N	2	R	B
116	1	3228	0	2	MILITANT	A	N	2	P	N
117	2	3049	0	2	BELIEBT	A	P	1	S	A
118	1	2350	0	1	OPTIMAL	A	P	1	P	N
119	3	2604	0	2	DROHUNG	S	N	2	R	B
120	1	3825	0	1	HEILFROH	A	P	1	P	N
121	2	3419	0	1	TOLERANZ	S	P	2	S	A
122	3	2634	0	1	KLUGHEIT	S	P	1	R	B
123	2	4682	0	2	TOLERANT	A	P	1	S	A
124	2	1736	1	2	PRACHT	S	P	1	S	A
125	3	2872	0	1	GRATIS	A	P	1	R	B
126	2	3888	0	1	JUBEL	S	P	2	S	A
127	1	2791	0	1	GRANDIOS	A	P	1	P	N
128	2	3594	0	2	PEINLICH	A	N	2	S	A
129	1	4516	0	1	KIRSCHE	S	P	2	P	N
130	3	2221	0	2	LIEB	A	P	2	R	B
131	2	2248	0	2	FRAULICH	A	P	1	S	A
132	3	2351	0	1	MUTTER	S	P	1	R	B
133	2	1714	0	1	VATER	S	P	1	S	A
134	1	3290	0	2	INFERNO	S	N	1	P	N
135	1	2701	0	1	ZART	A	P	2	P	N
136	1	3963	0	2	ATTENTAT	S	N	1	P	N
137	2	4799	0	2	BEQUEM	A	P	1	S	A
138	2	1438	0	1	FREUDE	S	P	1	S	A
139	3	2032	0	2	ZUKUNFT	S	P	2	R	B
140	2	2696	0	2	LOYAL	A	P	2	S	A
141	3	2400	0	2	LEBLOS	A	N	2	R	B
142	3	1743	0	2	PERVERS	A	N	2	R	B
143	3	1597	0	1	INTRIGE	S	N	1	R	B
144	2	2430	0	1	BLUTTAT	S	N	2	S	A
145	1	3475	0	1	TAPFER	A	P	1	P	N
146	2	1825	0	1	GALGEN	S	N	2	S	A
147	1	2690	0	2	ZERLUMPT	A	N	1	P	N
148	2	1764	0	1	STRAND	S	P	1	S	A
149	2	1820	0	2	STILVOLL	A	P	2	S	A
150	3	2295	0	2	BRILLANT	A	P	2	R	B
151	1	1926	0	2	MASSAKER	S	N	2	P	N
