trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	3786	0	1	FREIHEIT	S	P	2	B	R
2	1	3449	0	1	TREULOS	A	N	2	N	P
3	2	2149	0	1	LIEB	A	P	2	A	S
4	3	2211	0	2	KIRSCHE	S	P	1	B	R
5	1	1931	0	2	PARTY	S	P	2	N	P
6	2	2766	0	1	LUSTLOS	A	N	1	A	S
7	3	3653	0	1	PANISCH	A	N	2	B	R
8	1	3758	0	1	SCHLACHT	S	N	1	N	P
9	2	2607	0	2	MONSTRUM	S	N	1	A	S
10	3	2759	0	1	FRÜHJAHR	S	P	2	B	R
11	1	2518	0	2	HEITER	A	P	2	N	P
12	2	3101	0	2	STREIT	S	N	2	A	S
13	1	1912	0	2	VERTRAUEN	S	P	1	N	P
14	3	6522	0	2	ERHOLUNG	S	P	1	B	R
15	1	1306	0	2	FREIZEIT	S	P	1	N	P
16	2	2692	0	1	LIEBLOS	A	N	2	A	S
17	3	2983	0	1	HERZLOS	A	N	2	B	R
18	2	2103	0	2	FRIEDEN	S	P	2	A	S
19	2	2431	0	1	LEBLOS	A	N	1	A	S
20	3	2427	0	2	VERRAT	S	N	1	B	R
21	2	1537	0	2	INTRIGE	S	N	1	A	S
22	1	2877	0	1	STRAFBAR	A	N	2	N	P
23	2	2649	0	2	SONNABEND	S	P	2	A	S
24	1	2211	0	1	TYRANN	S	N	1	N	P
25	3	2424	0	2	WARM	A	P	1	B	R
26	2	1614	0	2	DROHUNG	S	N	2	A	S
27	3	2148	0	2	ZART	A	P	1	B	R
28	2	2484	0	2	KOLLAPS	S	N	2	A	S
29	1	2358	0	2	BUNT	A	P	2	N	P
30	1	1225	0	1	TRENNUNG	S	N	2	N	P
31	1	3557	0	2	ABENDROT	S	P	2	N	P
32	2	2356	0	1	OPTIMAL	A	P	1	A	S
33	2	2735	0	2	STRAFTAT	S	N	2	A	S
34	3	2663	1	1	LEPRA	S	N	1	B	R
35	2	2529	0	1	LAUNISCH	A	N	2	A	S
36	1	3932	0	2	BEQUEM	A	P	2	N	P
37	3	3899	0	2	STABIL	A	P	1	B	R
38	2	4422	0	2	BEGABUNG	S	P	2	A	S
39	1	2170	0	1	TUMOR	S	N	1	N	P
40	2	1399	0	1	HEILFROH	A	P	1	A	S
41	1	2537	0	1	BESTIE	S	N	2	N	P
42	1	3240	0	1	IRRSINN	S	N	2	N	P
43	2	1926	0	2	WAHRHEIT	S	P	1	A	S
44	3	2269	1	1	GALGEN	S	N	1	B	R
45	1	2243	0	1	OHRFEIGE	S	N	1	N	P
46	3	3191	0	1	UNBEQUEM	A	N	2	B	R
47	1	4060	1	2	TRAURIG	A	N	2	N	P
48	1	2921	0	2	GRATIS	A	P	2	N	P
49	2	2611	0	2	SKLAVE	S	N	2	A	S
50	2	1743	0	1	SAUBER	A	P	2	A	S
51	3	2083	0	1	PEINIGER	S	N	2	B	R
52	3	3595	0	2	MORDTAT	S	N	1	B	R
53	2	2329	0	1	EHRLICH	A	P	2	A	S
54	3	3710	0	1	KORRUPT	A	N	2	B	R
55	2	1749	0	1	GIERIG	A	N	1	A	S
56	3	3111	0	1	NEIDISCH	A	N	2	B	R
57	3	3137	0	2	LEBENDIG	A	P	1	B	R
58	2	2775	0	1	TROSTLOS	A	N	2	A	S
59	3	2318	0	1	ENTSETZT	A	N	2	B	R
60	1	2953	0	1	NOTFALL	S	N	1	N	P
61	3	2528	0	1	GUTARTIG	A	P	2	B	R
62	2	2282	0	1	HUMORLOS	A	N	2	A	S
63	3	3110	0	2	TOXISCH	A	N	1	B	R
64	3	2520	0	1	HIMMEL	S	P	2	B	R
65	2	2313	0	2	TODFEIND	S	N	2	A	S
66	2	1498	0	1	ANOMAL	A	N	2	A	S
67	3	3454	0	1	REIZVOLL	A	P	2	B	R
68	1	3111	0	2	IDYLLE	S	P	1	N	P
69	2	1801	0	2	WISSEN	S	P	2	A	S
70	1	2831	0	1	ZWECKLOS	A	N	2	N	P
71	2	2918	0	1	SEEKRANK	A	N	1	A	S
72	3	4741	0	2	GRANATE	S	N	1	B	R
73	1	2102	0	2	KLUGHEIT	S	P	1	N	P
74	3	2281	0	2	SINNLICH	A	P	1	B	R
75	1	2539	0	1	SATAN	S	N	1	N	P
76	1	1179	0	2	SUPER	A	P	1	N	P
77	3	2237	0	2	FROH	A	P	1	B	R
78	2	3041	0	1	FREUDLOS	A	N	1	A	S
79	1	1654	0	1	UNHEIL	S	N	2	N	P
80	2	4193	0	1	ROBUST	A	P	2	A	S
81	1	1687	0	2	URLAUB	S	P	2	N	P
82	2	1236	0	2	BLUME	S	P	2	A	S
83	2	1392	0	2	STRAND	S	P	2	A	S
84	3	3800	0	1	BELIEBT	A	P	2	B	R
85	3	2821	0	1	FRAULICH	A	P	2	B	R
86	3	1627	0	1	ERDBEERE	S	P	2	B	R
87	1	2591	0	1	VIRUS	S	N	2	N	P
88	1	2345	0	2	HARMONIE	S	P	2	N	P
89	1	1295	0	2	GESUND	A	P	1	N	P
90	2	1994	0	2	ERFOLG	S	P	2	A	S
91	2	1176	0	1	GRAUSAM	A	N	2	A	S
92	2	1356	0	1	AKTIV	A	P	2	A	S
93	1	1556	0	2	HOFFNUNG	S	P	1	N	P
94	3	2644	0	1	PLEITE	A	N	2	B	R
95	1	3474	0	1	ZERLUMPT	A	N	1	N	P
96	1	1540	0	2	KLARHEIT	S	P	1	N	P
97	3	4079	0	2	TAKTVOLL	A	P	1	B	R
98	2	1486	0	2	TOLERANZ	S	P	1	A	S
99	1	2098	0	2	FREUND	S	P	1	N	P
100	3	2500	0	2	GEMETZEL	S	N	1	B	R
101	3	2791	0	1	ASCHFAHL	A	N	2	B	R
102	2	2517	0	1	POSITIV	A	P	1	A	S
103	1	2936	0	1	SADISMUS	S	N	2	N	P
104	3	2887	0	1	SCHMERZ	S	N	2	B	R
105	1	2388	0	2	SONNIG	A	P	1	N	P
106	3	2257	0	2	SATT	A	P	1	B	R
107	3	3157	0	2	GEFAHR	S	N	1	B	R
108	3	1590	0	1	VATER	S	P	2	B	R
109	2	2052	0	1	BRILLANT	A	P	1	A	S
110	1	1922	0	2	WERTVOLL	A	P	1	N	P
111	2	2156	0	2	FERIEN	S	P	1	A	S
112	1	4469	0	2	BEFREIUNG	S	P	2	N	P
113	2	2046	0	1	DEKADENT	A	N	2	A	S
114	2	1515	0	2	UNMENSCH	S	N	2	A	S
115	3	2379	0	2	MUNTER	A	P	1	B	R
116	1	2037	0	2	FRIEDE	S	P	1	N	P
117	3	1729	0	2	SPONTAN	A	P	1	B	R
118	3	4338	0	1	PARADIES	S	P	2	B	R
119	1	2368	0	2	VITAL	A	P	2	N	P
120	3	2387	0	2	UNFAIR	A	N	1	B	R
