trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	2	1767	0	1	TAPFER	A	P	1	A	S
2	3	4522	0	2	VATER	S	P	1	B	R
3	1	2159	0	1	HUMOR	S	P	2	P	N
4	3	2308	0	1	WISSEN	S	P	2	B	R
5	1	2201	0	2	INFERNO	S	N	2	P	N
6	1	1577	0	1	KIRSCHE	S	P	2	P	N
7	3	1444	0	2	NOTFALL	S	N	1	B	R
8	2	5034	0	1	ZIELLOS	A	N	1	A	S
9	1	3037	0	1	MASSAGE	S	P	2	P	N
10	2	2802	0	1	HEITER	A	P	1	A	S
11	1	3242	0	1	STRAND	S	P	1	P	N
12	2	5596	0	1	EINSAM	A	N	2	A	S
13	2	1130	0	1	DEKADENT	A	N	2	A	S
14	3	1905	0	1	GREUEL	S	N	2	B	R
15	3	1175	0	1	KÜSTE	S	P	2	B	R
16	3	2570	0	2	SCHLECHT	A	N	1	B	R
17	1	1973	0	2	KOLLAPS	S	N	2	P	N
18	1	2267	0	2	STREIT	S	N	1	P	N
19	1	1381	0	1	NETT	A	P	1	P	N
20	2	3027	0	1	PEINLICH	A	N	1	A	S
21	2	1207	0	2	TRENNUNG	S	N	2	A	S
22	2	1322	1	2	PLEITE	A	N	1	A	S
23	1	2481	0	1	HARMONIE	S	P	1	P	N
24	3	2210	0	1	VERLETZT	A	N	2	B	R
25	1	2851	0	1	WAHRHEIT	S	P	2	P	N
26	1	1823	0	1	ZUKUNFT	S	P	1	P	N
27	3	1946	0	1	ZUHAUSE	S	P	2	B	R
28	2	1971	0	2	WEISHEIT	S	P	1	A	S
29	1	2221	0	1	LEBEN	S	P	2	P	N
30	3	3100	0	2	MUSIK	S	P	1	B	R
31	3	2029	0	1	SONNABEND	S	P	2	B	R
32	2	1440	0	1	RASTLOS	A	N	2	A	S
33	1	2091	0	2	AGGRESSION	S	N	1	P	N
34	3	2146	0	1	WEIBLICH	A	P	2	B	R
35	1	2780	0	2	ASCHFAHL	A	N	2	P	N
36	3	1538	0	2	INSEL	S	P	1	B	R
37	3	2253	0	2	LAUNISCH	A	N	1	B	R
38	3	2032	0	2	ERZFEIND	S	N	1	B	R
39	2	1660	0	1	FREUDIG	A	P	1	A	S
40	1	3067	0	1	FORTUNA	S	P	1	P	N
41	2	5131	0	2	LEPRA	S	N	2	A	S
42	1	2566	0	1	PARTNER	S	P	1	P	N
43	2	1942	0	2	PANIK	S	N	1	A	S
44	2	2011	0	2	PRACHT	S	P	1	A	S
45	3	2669	0	2	ASOZIAL	A	N	1	B	R
46	1	2528	0	2	ENTSETZT	A	N	1	P	N
47	3	2122	0	2	GUTARTIG	A	P	1	B	R
48	3	2433	0	1	EROTIK	S	P	2	B	R
49	1	2564	0	1	LOYAL	A	P	2	P	N
50	3	3589	0	1	TROSTLOS	A	N	2	B	R
51	1	2062	0	2	UNTREUE	S	N	1	P	N
52	1	3330	0	1	HEILFROH	A	P	2	P	N
53	2	1377	0	2	MASSAKER	S	N	2	A	S
54	2	1993	0	2	OPTIMIST	S	P	1	A	S
55	2	1914	0	1	TOXISCH	A	N	1	A	S
56	1	1714	0	2	UNHEIL	S	N	1	P	N
57	1	1554	0	2	TUMOR	S	N	2	P	N
58	1	2182	0	1	KREATIV	A	P	1	P	N
59	3	2098	0	2	ANMUTIG	A	P	1	B	R
60	3	2422	0	2	PARADIES	S	P	1	B	R
61	1	2164	0	2	GEISEL	S	N	1	P	N
62	1	1643	0	2	LUSTLOS	A	N	1	P	N
63	2	2030	0	2	FREUDE	S	P	2	A	S
64	1	1492	0	1	REIZVOLL	A	P	2	P	N
65	2	3504	0	2	ATEMNOT	S	N	1	A	S
66	2	1419	0	1	SPONTAN	A	P	1	A	S
67	2	1567	0	2	OHRFEIGE	S	N	2	A	S
68	1	2745	0	1	JUBEL	S	P	1	P	N
69	3	2447	0	2	SOMMER	S	P	1	B	R
70	1	2323	0	2	UNRECHT	S	N	1	P	N
71	1	2750	0	1	TREU	A	P	1	P	N
72	3	3142	0	1	HERZLOS	A	N	2	B	R
73	2	1983	0	1	FROH	A	P	1	A	S
74	1	2580	0	1	FANTASIE	S	P	2	P	N
75	2	2755	0	2	ATTENTAT	S	N	2	A	S
76	1	2070	0	2	BANKROTT	A	N	2	P	N
77	1	1943	0	1	HEILUNG	S	P	2	P	N
78	2	2738	0	1	HUMORLOS	A	N	1	A	S
79	3	2854	0	2	EHRLICH	A	P	1	B	R
80	1	1717	0	1	NATUR	S	P	1	P	N
81	3	2486	0	2	VITAL	A	P	1	B	R
82	1	2001	0	2	ANGRIFF	S	N	2	P	N
83	1	2839	0	1	BRILLANT	A	P	2	P	N
84	2	1972	0	2	SCHMERZ	S	N	1	A	S
85	2	2039	0	1	PANISCH	A	N	2	A	S
86	3	2761	0	1	IDYLLE	S	P	2	B	R
87	3	1792	0	2	FRAULICH	A	P	1	B	R
88	2	2274	0	1	STABIL	A	P	2	A	S
89	3	3459	0	1	UNMENSCH	S	N	2	B	R
90	2	2002	0	2	FREIZEIT	S	P	1	A	S
91	3	3758	0	1	GEFAHR	S	N	2	B	R
92	3	1813	0	2	TOLERANT	A	P	1	B	R
93	2	2062	0	2	TOLERANZ	S	P	1	A	S
94	3	2053	0	2	ERHOLUNG	S	P	1	B	R
95	1	1755	0	2	TREULOS	A	N	1	P	N
96	3	3356	0	2	ÜBERFALL	S	N	1	B	R
97	2	1510	0	1	LABIL	A	N	2	A	S
98	3	2665	0	1	TALENT	S	P	2	B	R
99	3	2265	0	1	BEFREIUNG	S	P	2	B	R
100	2	1685	0	2	SABOTEUR	S	N	2	A	S
101	2	1745	0	1	WARM	A	P	1	A	S
102	3	2002	0	1	SAUBER	A	P	2	B	R
103	1	1752	0	2	BESTIE	S	N	2	P	N
104	2	1712	0	2	ERDBEERE	S	P	2	A	S
105	1	2117	0	2	KRAFTLOS	A	N	2	P	N
106	3	2334	0	1	MONSTRUM	S	N	2	B	R
107	1	2471	0	1	VERTRAUT	A	P	2	P	N
108	2	1920	0	1	SPRITZIG	A	P	1	A	S
109	3	2373	0	1	SADISMUS	S	N	2	B	R
110	1	1482	0	2	TODFEIND	S	N	1	P	N
111	2	1574	0	1	LIEB	A	P	1	A	S
112	3	3502	0	2	PRIMA	A	P	1	B	R
113	1	1679	0	1	STILVOLL	A	P	2	P	N
114	2	1690	0	2	PSYCHOSE	S	N	2	A	S
115	3	2263	0	1	HILFLOS	A	N	2	B	R
116	1	1803	0	1	GESCHENK	S	P	2	P	N
