trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	2301	0	1	FURCHT	S	N	2	B	R
2	3	1058	0	1	HEILFROH	A	P	2	B	R
3	3	1420	0	2	GIERIG	A	N	1	B	R
4	2	2826	0	1	GEFAHR	S	N	1	S	A
5	1	1800	0	1	WEISE	A	P	1	P	N
6	2	1854	0	2	VERTRAUT	A	P	1	S	A
7	1	1725	0	2	VERLETZT	A	N	1	P	N
8	2	2053	0	1	GRANATE	S	N	1	S	A
9	2	1442	0	1	LEBEN	S	P	1	S	A
10	3	1808	0	1	GRUSELIG	A	N	2	B	R
11	1	1932	0	2	PLEITE	A	N	2	P	N
12	3	2591	0	1	TERROR	S	N	2	B	R
13	3	1349	0	2	STRAFBAR	A	N	1	B	R
14	1	1829	0	2	LEPRA	S	N	2	P	N
15	3	2573	0	1	RETTER	S	P	2	B	R
16	1	1403	0	1	LOYAL	A	P	2	P	N
17	1	1107	0	2	UNRECHT	S	N	2	P	N
18	2	1845	1	1	FREUDIG	A	P	2	S	A
19	2	4467	0	1	STRAFE	S	N	1	S	A
20	2	1645	0	2	TOPFIT	A	P	1	S	A
21	1	2713	0	2	HERZLOS	A	N	1	P	N
22	1	1241	0	2	TUMOR	S	N	1	P	N
23	1	1666	1	2	SATT	A	P	1	P	N
24	3	3587	0	2	FANTASIE	S	P	1	B	R
25	3	1681	0	2	TRAURIG	A	N	1	B	R
26	1	5445	0	2	VERRAT	S	N	2	P	N
27	1	2282	0	2	PSYCHOSE	S	N	1	P	N
28	2	2090	1	1	SCHLAU	A	P	2	S	A
29	1	5363	0	1	SUPER	A	P	2	P	N
30	2	2878	0	1	MORDFALL	S	N	2	S	A
31	2	1720	0	1	TOLERANZ	S	P	2	S	A
32	2	1923	0	2	EINSAM	A	N	1	S	A
33	1	4602	0	1	BELIEBT	A	P	2	P	N
34	3	1683	0	2	KLUGHEIT	S	P	1	B	R
35	1	3037	0	2	VERBOTEN	A	N	1	P	N
36	3	2618	0	2	VITAL	A	P	1	B	R
37	1	3574	0	1	SOMMER	S	P	2	P	N
38	2	1895	0	1	MUSIK	S	P	1	S	A
39	3	3486	0	1	DEKADENT	A	N	2	B	R
40	1	3153	0	1	FRAULICH	A	P	2	P	N
41	2	2539	0	1	FRIEDE	S	P	1	S	A
42	3	1609	0	1	BLÜTE	S	P	2	B	R
43	1	2906	0	1	SONNIG	A	P	2	P	N
44	2	2429	0	1	GEFÜHL	S	P	2	S	A
45	3	1713	0	1	TAKTVOLL	A	P	2	B	R
46	1	2284	0	2	GALGEN	S	N	2	P	N
47	2	2975	0	2	LEBENDIG	A	P	2	S	A
48	1	2862	0	1	BRILLANT	A	P	2	P	N
49	3	1912	0	1	TRAGISCH	A	N	2	B	R
50	1	2725	0	1	ZART	A	P	1	P	N
51	2	3174	0	1	PARADIES	S	P	2	S	A
52	3	2020	0	1	WEHRLOS	A	N	2	B	R
53	2	3123	0	1	PARTNER	S	P	2	S	A
54	2	1258	0	1	FRÜHJAHR	S	P	2	S	A
55	3	2326	0	1	IDYLLE	S	P	2	B	R
56	2	2289	0	1	SABOTEUR	S	N	1	S	A
