trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	1	3459	0	2	GEFAHR	S	N	2	P	N
2	3	2933	0	2	KORRUPT	A	N	1	B	R
3	2	1895	0	2	FRAULICH	A	P	2	S	A
4	1	2088	0	1	MASSAGE	S	P	2	P	N
5	2	2214	0	1	GALGEN	S	N	1	S	A
6	1	1948	0	1	VITAL	A	P	1	P	N
7	1	2457	0	2	HALBTOT	A	N	2	P	N
8	2	2361	0	2	ASCHFAHL	A	N	2	S	A
9	3	2094	0	2	UNBEQUEM	A	N	1	B	R
10	1	2243	0	1	PERFEKT	A	P	2	P	N
11	3	3055	0	1	FANTASIE	S	P	2	B	R
12	1	2561	1	1	FREUDLOS	A	N	2	P	N
13	1	1525	0	2	GEMETZEL	S	N	2	P	N
14	2	2268	0	1	OPTIMIST	S	P	1	S	A
15	2	1714	0	1	WAHRHEIT	S	P	1	S	A
16	3	1523	0	2	TYRANN	S	N	1	B	R
17	3	1708	0	2	SEKTE	S	N	1	B	R
18	2	1654	0	1	UNMENSCH	S	N	1	S	A
19	3	1444	0	1	SCHLACHT	S	N	2	B	R
20	2	1552	0	1	KLUGHEIT	S	P	2	S	A
21	3	1731	0	1	GEFÜHL	S	P	2	B	R
22	3	1300	0	1	SCHMERZ	S	N	2	B	R
23	2	1627	0	1	PEINIGER	S	N	1	S	A
24	3	1978	0	1	FOLTER	S	N	2	B	R
25	1	1978	0	2	SCHLECHT	A	N	1	P	N
26	3	1588	0	2	ELEND	A	N	1	B	R
27	2	1561	0	2	NETT	A	P	2	S	A
28	3	1423	0	1	GIERIG	A	N	2	B	R
29	3	1400	1	1	BODENLOS	A	N	1	B	R
30	2	4494	0	2	OPTIMAL	A	P	1	S	A
31	2	1097	0	1	SOMMER	S	P	2	S	A
32	3	2277	0	1	PANIK	S	N	2	B	R
33	1	3665	0	1	URLAUB	S	P	2	P	N
34	2	2089	0	2	LEBENDIG	A	P	2	S	A
35	1	2820	0	2	MORDFALL	S	N	1	P	N
36	3	1802	0	1	TREU	A	P	2	B	R
37	3	1457	0	2	STREIT	S	N	1	B	R
38	3	1287	0	1	SADISMUS	S	N	2	B	R
39	2	1681	0	1	TOLERANZ	S	P	1	S	A
40	1	1395	0	1	FREUND	S	P	2	P	N
41	2	2084	0	1	BEFREIUNG	S	P	2	S	A
42	1	1878	0	1	FREUDIG	A	P	1	P	N
43	2	1947	0	1	WEISHEIT	S	P	1	S	A
44	2	1163	0	2	MILITANT	A	N	1	S	A
45	3	1148	0	1	WARM	A	P	2	B	R
46	1	1645	0	2	STRAFE	S	N	2	P	N
47	3	2592	0	2	ERZFEIND	S	N	1	B	R
48	3	1158	0	2	FRÜHJAHR	S	P	1	B	R
49	1	1335	0	2	VIRUS	S	N	2	P	N
50	3	1785	0	1	MUTTER	S	P	2	B	R
51	1	1723	0	2	PEINLICH	A	N	1	P	N
52	1	996	0	1	ERHOLUNG	S	P	1	P	N
53	2	1827	0	2	DEKADENT	A	N	1	S	A
54	2	1489	0	1	ALPTRAUM	S	N	2	S	A
55	2	1074	0	2	WEIBLICH	A	P	2	S	A
56	1	1990	0	1	PFIFFIG	A	P	2	P	N
57	1	1302	0	1	FREUDE	S	P	2	P	N
