trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	2	5736	0	1	LEBEN	S	P	1	S	A
2	3	1675	1	2	HERZLOS	A	N	1	R	B
3	1	1925	0	2	KRANK	A	N	2	P	N
4	3	11065	0	1	ANGRIFF	S	N	1	R	B
5	1	3821	0	1	ABENDROT	S	P	1	P	N
6	1	5764	0	1	WEIBLICH	A	P	1	P	N
7	3	5643	0	1	KÜSTE	S	P	1	R	B
8	2	1654	0	2	PRIMA	A	P	1	S	A
9	1	1452	1	1	GREUEL	S	N	1	P	N
10	2	2074	0	1	ENERGIE	S	P	2	S	A
11	1	1373	0	2	UNFALL	S	N	1	P	N
12	2	1325	0	2	PERVERS	A	N	2	S	A
13	2	4624	0	1	PARTY	S	P	2	S	A
14	3	1715	1	2	BRUTAL	A	N	1	R	B
15	3	2446	1	2	SAUBER	A	P	1	R	B
16	3	2456	1	1	GEMETZEL	S	N	2	R	B
17	1	3468	0	1	REIZVOLL	A	P	2	P	N
18	1	1960	0	1	PFIFFIG	A	P	2	P	N
19	1	1649	0	2	ATEMNOT	S	N	2	P	N
20	2	2126	0	1	GEWINN	S	P	1	S	A
21	2	1550	0	1	FERIEN	S	P	1	S	A
22	2	1166	0	1	WAHRHEIT	S	P	2	S	A
23	1	1690	0	2	TERROR	S	N	2	P	N
24	3	5106	0	2	TOLL	A	P	2	R	B
25	1	1550	0	2	KORRUPT	A	N	2	P	N
26	1	2060	0	2	UNMENSCH	S	N	2	P	N
27	3	2938	0	1	FROH	A	P	1	R	B
28	2	5377	0	1	EROTIK	S	P	2	S	A
29	1	1375	1	2	SATT	A	P	1	P	N
30	3	2088	1	2	ANOMAL	A	N	1	R	B
31	3	11112	0	2	LEPRA	S	N	2	R	B
32	2	2241	0	1	PARTNER	S	P	1	S	A
33	1	4412	0	1	STRAND	S	P	2	P	N
34	3	6145	1	1	FREIZEIT	S	P	2	R	B
35	1	1497	0	2	GALGEN	S	N	2	P	N
36	3	2690	0	2	SEKTE	S	N	2	R	B
37	3	2934	0	1	PARADIES	S	P	1	R	B
38	3	3053	1	1	KIRSCHE	S	P	2	R	B
39	2	4204	0	1	REVOLVER	S	N	1	S	A
40	1	3138	0	2	GRANATE	S	N	2	P	N
41	2	3834	0	2	ASOZIAL	A	N	1	S	A
42	1	5311	0	2	TRAUMA	S	N	2	P	N
43	2	2054	0	2	GRUSELIG	A	N	2	S	A
44	2	3072	0	1	HENKER	S	N	1	S	A
45	3	9660	0	2	TOLERANT	A	P	2	R	B
46	1	3317	0	2	INTRIGE	S	N	1	P	N
47	3	4455	0	1	KLARHEIT	S	P	1	R	B
48	3	3467	0	2	TYRANN	S	N	2	R	B
49	1	3861	0	1	LIEB	A	P	2	P	N
50	3	5008	0	1	ILLEGAL	A	N	1	R	B
51	1	4196	0	1	GRATIS	A	P	2	P	N
52	1	3748	0	1	URLAUB	S	P	2	P	N
53	2	2011	0	1	SATAN	S	N	2	S	A
54	2	5138	0	1	VERRAT	S	N	1	S	A
55	2	2361	0	1	HOFFNUNG	S	P	1	S	A
56	1	4032	0	1	WEISE	A	P	2	P	N
57	1	1851	0	2	VERBOTEN	A	N	1	P	N
58	1	2769	0	1	GEFÜHL	S	P	2	P	N
59	3	3609	0	1	VIRUS	S	N	1	R	B
60	3	2815	0	2	AKTIV	A	P	2	R	B
61	1	2797	0	1	ZUHAUSE	S	P	2	P	N
62	1	3577	0	2	GEFAHR	S	N	2	P	N
63	2	3664	0	1	KLUGHEIT	S	P	1	S	A
64	1	3467	0	1	WEISHEIT	S	P	1	P	N
65	2	3478	0	2	STRAFBAR	A	N	1	S	A
66	2	5138	0	1	SCHLACHT	S	N	2	S	A
67	2	1962	0	2	STABIL	A	P	1	S	A
68	1	3050	0	2	UNHEIL	S	N	2	P	N
69	3	2454	0	1	STILVOLL	A	P	1	R	B
70	1	4041	0	1	HUMOR	S	P	2	P	N
71	3	3380	1	1	MUSIK	S	P	2	R	B
