trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	2	2887	1	1	KRANK	A	N	1	S	A
2	3	2825	0	1	GEISEL	S	N	1	R	B
3	1	3495	0	2	PEINIGER	S	N	1	P	N
4	3	2075	0	1	EINSAM	A	N	1	R	B
5	1	2694	0	1	HIMMEL	S	P	1	P	N
6	1	2520	0	2	STRAFE	S	N	2	P	N
7	3	2376	0	1	TRAURIG	A	N	1	R	B
8	2	1883	0	1	HOFFNUNG	S	P	1	S	A
9	1	2724	0	2	IRRSINN	S	N	1	P	N
10	2	1950	0	1	BEFREIUNG	S	P	1	S	A
11	1	2967	0	1	HEITER	A	P	2	P	N
12	2	1932	0	2	MILITANT	A	N	2	S	A
13	2	1950	0	1	TRENNUNG	S	N	1	S	A
14	3	1408	0	2	STRAFTAT	S	N	2	R	B
15	3	1342	0	1	VATER	S	P	1	R	B
16	3	1855	0	2	UNMENSCH	S	N	2	R	B
17	1	2370	0	1	GRATIS	A	P	2	P	N
18	1	1810	0	1	BLUME	S	P	2	P	N
19	1	1328	0	1	GUTARTIG	A	P	1	P	N
20	2	2444	0	1	FOLTER	S	N	2	S	A
21	2	1641	0	2	ASOZIAL	A	N	2	S	A
22	2	2455	0	1	ERHOLUNG	S	P	2	S	A
23	1	2370	0	1	JUBEL	S	P	1	P	N
24	3	1431	0	1	MASSAKER	S	N	1	R	B
25	1	2078	0	2	SEKTE	S	N	1	P	N
26	1	3412	0	1	NATUR	S	P	2	P	N
27	3	1408	0	1	VERLETZT	A	N	1	R	B
28	2	2037	0	2	WERTVOLL	A	P	2	S	A
29	1	2968	0	2	HALBTOT	A	N	2	P	N
30	3	2635	0	1	GALGEN	S	N	1	R	B
31	3	1503	0	2	GIFTGAS	S	N	2	R	B
32	2	2079	0	2	TAKTVOLL	A	P	2	S	A
33	1	2140	0	2	AGGRESSION	S	N	1	P	N
34	3	1633	0	1	MORDTAT	S	N	1	R	B
35	1	5483	0	1	TOLL	A	P	1	P	N
36	3	1445	0	2	STARK	A	P	2	R	B
37	3	1049	0	1	KLARHEIT	S	P	1	R	B
38	3	955	0	2	MACHTLOS	A	N	2	R	B
39	2	2902	0	2	NETT	A	P	1	S	A
40	1	2507	0	1	PFIFFIG	A	P	1	P	N
41	2	1544	0	2	SAUBER	A	P	1	S	A
42	1	2849	0	2	ERZFEIND	S	N	1	P	N
43	2	1594	0	2	VERWEINT	A	N	1	S	A
44	2	2138	0	2	LOYAL	A	P	2	S	A
45	3	1362	0	2	PARTNER	S	P	2	R	B
46	1	2335	0	1	KLUGHEIT	S	P	1	P	N
47	3	1476	0	1	BELIEBT	A	P	1	R	B
48	3	898	0	2	WISSEN	S	P	2	R	B
49	1	3325	0	2	TRAUMA	S	N	1	P	N
50	3	1474	0	1	VERTRAUEN	S	P	1	R	B
51	1	1670	0	2	UNFALL	S	N	1	P	N
52	1	4064	0	2	LEPRA	S	N	2	P	N
53	2	4515	0	1	ZUKUNFT	S	P	2	S	A
54	2	2062	0	1	SCHMERZ	S	N	1	S	A
55	2	1045	0	1	URLAUB	S	P	2	S	A
56	1	1475	0	2	PANIK	S	N	1	P	N
57	1	1014	0	2	ILLEGAL	A	N	1	P	N
58	1	1438	0	1	BUNT	A	P	1	P	N
59	3	2846	0	2	ERFÜLLUNG	S	P	2	R	B
60	3	936	0	2	BEQUEM	A	P	2	R	B
61	1	1795	0	1	PERFEKT	A	P	2	P	N
62	1	1322	0	1	FREUND	S	P	1	P	N
63	2	1762	0	2	KRAFTLOS	A	N	1	S	A
64	1	1229	0	1	MUSIK	S	P	1	P	N
65	2	2647	0	2	DEKADENT	A	N	2	S	A
66	2	4190	0	1	GEFAHR	S	N	1	S	A
67	2	738	0	1	KÜSTE	S	P	1	S	A
68	1	1796	0	2	MONSTRUM	S	N	1	P	N
69	3	1659	0	1	GEWINN	S	P	1	R	B
70	1	3050	0	2	UNFAIR	A	N	1	P	N
71	3	1466	0	2	VERRAT	S	N	2	R	B
72	1	2420	0	1	ERDBEERE	S	P	1	P	N
73	2	1767	0	1	BLUTTAT	S	N	1	S	A
74	3	2025	0	2	ELEND	A	N	2	R	B
75	1	3612	0	2	LAUNISCH	A	N	2	P	N
76	2	1217	0	1	STRAND	S	P	1	S	A
77	3	1498	0	2	PRACHT	S	P	2	R	B
78	1	3419	0	2	HILFLOS	A	N	2	P	N
79	2	2558	0	1	OHRFEIGE	S	N	1	S	A
80	3	1330	0	2	SINNLICH	A	P	2	R	B
81	1	2878	0	2	INFERNO	S	N	1	P	N
82	2	4060	0	1	ALPTRAUM	S	N	2	S	A
83	1	2206	0	1	FRIEDE	S	P	1	P	N
84	3	1348	0	2	SONNABEND	S	P	2	R	B
85	1	4348	0	2	SEEKRANK	A	N	2	P	N
86	2	1542	0	2	PEINLICH	A	N	2	S	A
87	3	2663	0	1	ZART	A	P	1	R	B
