trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	3395	0	2	VATER	S	P	1	B	R
2	1	3360	0	1	ZIELLOS	A	N	1	N	P
3	2	3921	0	2	TODFEIND	S	N	2	A	S
4	3	3229	0	2	SOMMER	S	P	1	B	R
5	1	6518	0	1	STRAFTAT	S	N	2	N	P
6	2	3374	0	2	MORDFALL	S	N	2	A	S
7	3	2451	0	1	ASOZIAL	A	N	2	B	R
8	1	2134	0	2	MUTTER	S	P	1	N	P
9	2	4855	0	2	FRÜHJAHR	S	P	2	A	S
10	3	2429	0	1	PANISCH	A	N	2	B	R
11	1	1926	0	2	WARM	A	P	2	N	P
12	2	2847	0	1	VERBOTEN	A	N	1	A	S
13	1	3240	0	1	MONSTRUM	S	N	2	N	P
14	3	2763	0	1	ERDBEERE	S	P	2	B	R
15	1	3301	0	2	PARTNER	S	P	2	N	P
16	2	2273	0	2	GEWINN	S	P	2	A	S
17	3	3359	0	1	SEEKRANK	A	N	2	B	R
18	2	4640	0	2	ERHOLUNG	S	P	1	A	S
19	2	4384	0	1	TOLERANT	A	P	2	A	S
20	3	1863	0	1	ZUKUNFT	S	P	2	B	R
21	2	2070	0	2	UNFALL	S	N	1	A	S
22	1	1919	0	1	TYRANN	S	N	1	N	P
23	2	2826	0	1	WEISE	A	P	2	A	S
24	1	2531	0	1	SKLAVE	S	N	2	N	P
25	3	2632	0	1	UNBEQUEM	A	N	2	B	R
26	2	2679	0	2	ERFÜLLUNG	S	P	2	A	S
27	3	3019	0	1	GEMETZEL	S	N	2	B	R
28	2	4198	0	2	PARADIES	S	P	1	A	S
29	1	2407	0	2	GEFÜHL	S	P	1	N	P
30	1	1124	0	1	ZWECKLOS	A	N	1	N	P
31	1	2582	0	2	STABIL	A	P	1	N	P
32	2	2835	0	1	KREATIV	A	P	1	A	S
33	2	2555	0	1	FREUDLOS	A	N	2	A	S
34	3	1467	0	1	TAPFER	A	P	2	B	R
35	2	2137	0	1	LOYAL	A	P	2	A	S
36	1	2279	0	2	BRILLANT	A	P	1	N	P
37	3	1223	0	1	PLANLOS	A	N	2	B	R
38	2	1815	0	2	ALPTRAUM	S	N	2	A	S
39	1	2665	0	1	GEWALT	S	N	2	N	P
40	2	2444	0	1	PERFEKT	A	P	1	A	S
41	1	2910	0	1	KORRUPT	A	N	2	N	P
42	1	1641	0	1	EINSAM	A	N	1	N	P
43	2	4018	0	1	TOPFIT	A	P	2	A	S
44	3	1755	0	1	ENERGIE	S	P	2	B	R
45	1	1562	0	1	PEINLICH	A	N	1	N	P
46	3	2772	0	2	GRAUSAM	A	N	1	B	R
47	1	2622	0	1	GEFAHR	S	N	1	N	P
48	1	1810	0	2	FREUND	S	P	1	N	P
49	2	2801	0	2	PEINIGER	S	N	2	A	S
50	2	1227	0	2	FREIZEIT	S	P	1	A	S
51	3	3850	0	1	KLARHEIT	S	P	2	B	R
52	3	1442	0	2	SATT	A	P	1	B	R
53	2	3379	0	1	DEKADENT	A	N	2	A	S
54	3	4298	0	2	BLUTIG	A	N	1	B	R
55	2	2080	0	1	NEIDISCH	A	N	1	A	S
56	3	1881	0	1	TAKTVOLL	A	P	2	B	R
57	3	1821	0	2	WEISHEIT	S	P	1	B	R
58	2	3811	1	1	KOLLAPS	S	N	1	A	S
59	3	2108	0	2	BEQUEM	A	P	1	B	R
60	1	1860	0	2	SPONTAN	A	P	2	N	P
61	3	1832	0	1	HUMAN	A	P	2	B	R
62	2	3634	0	2	REVOLVER	S	N	1	A	S
63	3	1866	0	1	ATTENTAT	S	N	2	B	R
64	3	1525	0	1	SADISMUS	S	N	2	B	R
65	2	3784	0	2	FANTASIE	S	P	2	A	S
66	2	2693	0	2	BESTIE	S	N	1	A	S
67	3	1579	0	1	UNHEIL	S	N	2	B	R
68	1	3476	0	1	KRANK	A	N	2	N	P
69	2	2669	0	1	TROSTLOS	A	N	2	A	S
70	1	2152	0	1	HUMORLOS	A	N	1	N	P
71	3	2840	0	2	FURCHT	S	N	1	B	R
72	3	1560	0	2	WAHRHEIT	S	P	1	B	R
73	3	2129	0	1	BUNT	A	P	2	B	R
74	2	2459	0	1	TRIST	A	N	2	A	S
75	1	3236	0	1	ÜBERFALL	S	N	1	N	P
76	2	3103	0	1	VERTRAUT	A	P	1	A	S
77	1	8496	0	2	SAUBER	A	P	2	N	P
78	2	2816	0	1	VITAL	A	P	1	A	S
79	2	4335	0	2	INTRIGE	S	N	2	A	S
80	3	1411	0	1	HILFLOS	A	N	2	B	R
81	1	1756	0	2	TALENT	S	P	2	N	P
82	3	1954	0	2	TRAGISCH	A	N	1	B	R
83	3	1372	0	2	WEIBLICH	A	P	1	B	R
84	1	2094	0	1	UNFAIR	A	N	2	N	P
85	3	4723	0	1	ENTSETZT	A	N	2	B	R
86	1	1993	0	1	ILLEGAL	A	N	1	N	P
87	1	1581	0	1	VERLOGEN	A	N	1	N	P
88	2	1916	0	1	BOSHAFT	A	N	2	A	S
89	2	2713	0	1	SPRITZIG	A	P	2	A	S
